CITATION,INSTRUMENT,Neutral Citation
['[2020] IECA 281'],[],2022_IEHC_343
"['[2021] IEHC 712', '[2020] IESC 27', '[2010] 2 IR 701', '[1986] IR 642', '[2021] IECA 1', '(Case C 83/11)', '[2020] IESC 78', ', 2016.']","['European Communities (Free Movement of Persons) Regulations 2015', '2015 Regulations', 'Immigration Act 1999', 'Directive 2004/38', 'GDPR 2018', 'Directive 2004/38/EC', 'Citizens Directive']",2022_IEHC_284
"['[1996] 2 IR 459', '[2016] IECA 206', '[1996] 2 I.R. 459', '[1970] I.R. 27', '[1995] 2 I.L.R.M. 561', '[2021] IEHC 138', '[2016] IECA 19', '[2017] IECA 178']",[],2022_IEHC_292
"['[1995] 1 IR 409', '[1997] 3 IR 511', '[2019] IECA 109', '[2018] IEHC 651']","['Child Care (Amendment) Act 2011', 'Child Care Act 1991']",2022_IECA_107
"['[2015] IESC 23', '[2010] IESC 62', '[2013] IESC 53', '[2011] IEHC 4', '[2014] IEHC 532', '[2019] 1 I.R. 63', '[1994] I.R. 160', '[2012] 2 I.R. 65', '[2002] 1 I.R. 84', '[1993] 2 I.R. 551', '[2010] IESC 35']","['Finance Act', 'Finance Act 2003', 'Finance Act 2004', 'Alcohol Products Tax Regulations 2004', 'Finance Act 2001', 'Finance Act 2010', '2003 Act', 'Act of 2003', 'Act of 2001.', 'Act of 2001', 'Public Notice 1887', 'Revenue under Regulations 35', '2004 Regulations']",2022_IEHC_267
"['[2018] 2 IR 811', '[2003] 1 IR 268', '[2017] IEHC 286', '[2009] IESC 30', '[2018] 1 IR 505', '[1992] 1 IR 210']",[],2022_IECA_110
"['[2004] IESC 98', '[2012] IESC 50', '[2020] IESC 67', '[1995] 2 ILRM 561', '[1996] 2 I.R. 459', '[2015] IECA 74', '[2009] 1 IR 737', '[2016] IECA 163', '[2017] 2 I.L.R.M. 168', '[2019] IECA 43', '[2021] IEHC 5', '[2021] IEHC 323', '[2022] IEHC 223', '[2022] IEHC 151', '[2002] 3 IR 510', '[2014] IEHC 203']",['European Convention'],2022_IEHC_323
"['[2019] IESC 65', '[2006] 17 E.L.R 137']","['Operating Agreement/Shareholders’ Agreement.', 'Operating Agreement/Shareholders’ Agreement']",2022_IEHC_289
"['[2017] IESC 65', '[2018] IEHC 702', '[2021] IESC 59']","['Court Services Act', 'European Convention', 'Courts Service Act']",2022_IEHC_266
"[', Case C-670/16, ECLI', ', Case C-201/16,', ', Case C-213/17,  ECLI']","['Dublin III Regulation', 'Dublin III']",2022_IEHC_358
