CITATION,INSTRUMENT,Neutral Citation
"['[2015 No.', '[2021] IEHC 474', '(2020) Irish Judicial Studies Journal Vol 4(2) 43', '[2017] IESC 66', '[2021] IEHC 456', '[2012] 2 IR 198', '[2018] IEHC 116']",['Social Welfare (Consolidation) Act 2005'],2021_IEHC_682
['[2020] IECA 242'],"['Civil Liability and Courts 2004.', 'Occupier’s Liability Act 1996']",2021_IEHC_704
"['[2020 176 JR]', '4 Reference 0098/12 – 45', '[2009] IEHC 228', '[1999] 2 IR 270', '[2019] IEHC 825', '[2018] IESC 1', '[1994] 2 IR 128', '[2018] 2 IR 250', '[1996] AC 923', '[2017] IEHC 458']","['Planning and Development Act', 'Planning and Development Act 2000', 'Act of 2000', 'Act Section 50(2)', 'Superior Courts.', 'Act Section 138', 'Dublin City Development Plan 2016 – 2022', 'Planning Regulations', 'Planning and Development Regulation 2001', 'Dublin City Development Plan 2016-2022', 'Regulations of 2001', 'Dublin City Development Plan 2016', 'Planning and Development Regulations 2001', '2000 Act', '2001 Regulations']",2021_IEHC_745
"['[2012]\xa0IESC\xa049', '[2012]\xa03\xa0I.R.\xa0152', '[2018]\xa0IESC\xa061', '[2019]\xa01\xa0I.L.R.M.\xa0149', '[2021]\xa0IEHC\xa0283']","['General Data Protection Regulation', 'Teaching Council (Registration) Regulations 2016', 'Order\xa084']",2021_IEHC_712
"['6\xa0B', '[2004]\xa0IESC\xa097', '[2005]\xa02\xa0I.R.\xa0383', '[2015]\xa0IESC\xa021', '[2006]\xa0IEHC\xa0156', '[2012]\xa0IEHC\xa0105', '[2017]\xa0IECA\xa0199', '[2014]\xa0IESC\xa021', '[2014]\xa02 I.R.\xa0301', '[1992] I.R. 425', '[2015]\xa0IEHC\xa0425', '[2011]\xa0IEHC\xa0546', '[2012]\xa04\xa0I.R.\xa0417', '[1997]\xa01\xa0I.R.\xa0153', '[2021]\xa0IEHC\xa0344']","['Investment Intermediaries Act 1995', 'Financial Instruments) Regulations 2007', 'European Directive', 'Directive 2004/39', 'Directive 2014/65', 'EC (Markets in Financial Instruments) Regulations 2007', 'Central Bank (Supervision and Enforcement) Act 2013']",2021_IEHC_620
"['[2018] IEHC 790', '[2015] IEHC 153', '[2005] IEHC 189', '[2010] 1 I.R. 407', '[2009] 2 I.R. 117', '[2014] 3 I.R. 340', '[1985] 2 W.L.R. 468', '[2007] 4 ALL ER 951', '[2020] IESC 10', '[2019] 2 I.R. 1']","['Personal Injuries Assessment Board Act', 'Liability for Defective Products Act', '1991 Act', 'PIAB Act', 'Civil Liability and Courts Act', '2004 Act', 'PIAB Act 2003', 'PARTIES’ SUBMISSIONS 18', 'Interpretation Act', 'Act of 2003', 'Workman’s Compensation Act', 'Workman’s Compensation', 'Legal Services Regulation Act']",2021_IECA_297
"['[2001] 4 IR 607', '[2007] 1 ILRM 203', '[2016] IESC 67', '[2009] IEHC 512', '[2013] 2 IR 28', '[2013] IEHC 231']","['Companies Act', '2014 Act', 'Companies Act 2014']",2021_IEHC_724
"['[2021 No.', '[2021] IEHC 683', '[2012] IESC 49', '[2012] 3 I.R. 152']","['Planning and Development Act 2000', '2000 Act']",2021_IEHC_708
"['[2018] IESC 1', '[2019] IEHC 825', '[2017] IESC 36', '[2017] 2 I.R. 658', '[2016] 1 I.R. 541', '[2016] IECA 207', '[2017] IEHC 308', '[2017] IEHC 458', '[2018] 2 I.R. 250', '[1999] IEHC 15', '[2006] IEHC 438', '[2013] 1 I.R. 142', '[2012] IESC 58', '[2021] IECA 217']","['Planning and Development Act 2000', 'Planning & Development Regulations 2001', 'Planning and Development Acts 2000', 'Planning and Development Regulations 2001', '2000 Act', 'Board’s 2018', '2018    s. 5', 'Council’s 2016', 'Illegal Immigrants (Trafficking) Act 2000', 'Environmental Impact Assessment) Regulations 2018']",2021_IECA_307
"['[2006] 3 IR 238', '[2021] IESC 8', '[2020] IESC 35', '[2018] 1 IR 521', '[1994] 2 IR 537', '[1988] IR 31', '[1980] AC 952', '[2011] 2 IR 544', '[2002] IESC 41', '[2020] IESC 13', '[2015] IECA 50', '2013  142', '2014  147', '[2015] IECA 65', '[1988] Crim LR 767', '[2018] IECA 74', '[1981] 1 WLR 1039', '[2003] 3 IR 321', '[2019] IECA 223']","['Criminal Justice Act 2006', 'European Convention', 'Criminal Justice (Miscellaneous Provisions) Act 1997', '2014 Act', 'Criminal Law Act 1997', '1997 Act', 'Act of 1997', 'Competition Act 2002', 'Criminal Justice Act 2007', 'Judges’ Rules', 'Criminal Evidence Act 1992', 'Criminal Justice (Mutual Assistance) Act 2008', '2008 Act', '1992 Act']",2021_IECA_306
