CITATION,INSTRUMENT,Neutral Citation
"['[2020 No.', '2020 28', '2020  29', '2020 31', '(App.', '(2004) 24 EHRR 104', '[2018] 1 I.R. 246', '[2017] IESC 21', '[1997] 2 I.R. 321', '[2020] IECA 91', '[2020] IECA 154', '[2021] IEHC 217', '[2018] 1 IR 246', '[2002] 1 AC 547', '[2003] I.R. 442', '[2005] IEHC 298', '[2018] IECA 392', '[2018] 2 IR 542', '[1965] IR 217', '[1970] IR 317', '[1982] IR 337', '[1948] IR 45', '[2002] 1 I.R. 164', '(Case C – 664/13)', '[2019] IESC 82', '[2002] 1 CMLR 20', '[2015] IEHC 649', '[2004] 1 I.R. 402', '[2017] IR 249', '[2016] IECA 289', '[2020] IECA 91 171', '[1928] AC 217', '[1928] AC 234', '[1990] 2 IR 507', '[1990] 2 IR at 511', '[1983] 2 AC 309', '[2009] IESC 77', '[2010] 1 IR 370', '[2013] UKSC 60', '[2014] AC 1', '[1971] 1 WLR 859', '[2011] IEHC 24', '[2004] IEHC 348', '[1983] QB 180', '[1993] 1 IR 231', '[2019] IESC 50']","['1961 Act', '2006 Regulations', 'Road Traffic Act 1961', 'Road Traffic (Licencing of Drivers) Regulations 2006', 'Road Traffic Act', 'Road Traffic Acts 1961', 'Directive 2006/126 EC', 'Directive.', '2016 Regulations', 'International Protection Act 2015', 'International Protection Act', '2015 Act', 'Driver) Regulations 2006', 'Road Traffic (Licencing of Driver) Regulations', 'European Convention', 'Human Rights Act 2003', 'Directive 2013/33', 'Human Rights Act', 'Directive 96/47 EC', 'Directive 97/26/EC', 'Directive 2000/56/EC', 'EU Driver Licencing Directive 2006/126', 'Equality Commission Act 2014', 'Road Traffic (Licensing of Drivers) Regulations', 'International Protection Temporary', 'European Communities (Reception Conditions) Regulations', 'Employment Equality Bill 1996', '2006 Regulation', 'ECHR.', 'Directive 2006/126/EC', 'Equal Status', 'European Communities (Reception Conditions) Regulations 2018', 'Reception Conditions Directive', 'Equal Status Acts', 'Nimanis Case C:6644/13', 'Directive 2006/126', 'Irish Regulations', 'EU Directive', 'Aliens Act', 'Illegal Immigrants (Trafficking) Act', 'Act of 1996', 'Directive 2013/32', 'Equal Status Acts 2000', 'Equal Status Act', 'Road Traffic (Licensing of Driver’s) Regulations 2006', 'European Union, European Economic Area', 'European Union, European Economic Area or Switzerland', 'Health Insurance Act 1994', 'Electoral Act 1963', 'Education Act 1962', 'Judgments (European Communities) Act 1988', 'Hague Convention', 'Brussels II Regulation', 'relevant Directive', 'Irish Nationality and Citizenship Act', '1956 Act', 'Aliens Act 1935', 'Immigration Act 1999', 'British Nationality Act 1948', '2004 Act', 'Immigration Act 2004', 'Social Welfare Consolidation Act', 'Irish Nationality and Citizenship Act 1956']",2021_IEHC_748
"['[2018] 2 I.R. 1', 'DECISION 40', '[1986] I.R. 13', '[2015] IESC 11', '[1992] 1 I.R. 210', '[2004] 2 I.R. 72', '[1999] 4 I.R. 432', '[2002] 1 WLR 3024', '[1979] I.R. 149']",['Defamation Act'],2021_IECA_310
"['[2020] IESC 48', '[2012] IESC 39', '[2012] 3 IR 222', '[2017] IEHC 677', '[2017] IEHC 490', '[2017] IEHC 613', '[2020] IESC 46', '[2015] IESC 103', '[2015] 4 IR 535', '[2013] IESC 49', '[2013] 4 IR 274', '[2004] IESC 38', '[2005] 1 ILRM 1', '[2019] IECA 346', '[2021] IECA 5', '[2021] IECA 242', '[2021] IECA 293', '[2009] IEHC 457', '[2020] IECA 183']","['Dublin III Regulation', 'European Convention', 'Dublin Regulations']",2021_IECA_296
['[2007] IESC 62'],[],2021_IEHC_699
"['[2020] IECA 101', '[2014] 2 IR 471', '[1953] I.R 134', '[2016] 1 IR 481', '[2012] 3 IR 666', '[2020] IECA 264', '[1967] IR 147', '[2016] IECA 177', '[1981] 1 IR 215', '[2010] 1 IR 295', '[1989] 1 IR 668']","['Children Act', 'Amendment) Act', 'Sex Offenders Act', '] Act', 'Criminal Justice (Victims of Crime) Act', '2001 Act', 'Criminal Procedure Act', 'Act of 1951', 'Courts of Justice Act']",2021_IEHC_705
"['[2021 No.', '[2001] IEHC 141', '[2001] 4 I.R. 565', '[2015] IEHC 433', '[2015] 7 JIC 0306', '[2020] IECA 268', '[2020] 10 JIC 0202', '[2010] IEHC 397', '[2010] 11 JIC 1103', '[2021] IEHC 617', '[2021] 9 JIC 0701', '[2000] IEHC 36', '[2000] 3 I.R. 240', '[2016] IEHC 349', '[2016] 2 I.R 314', '[2006] IEHC 206', '[2006] 6 JIC 2201', '[2016] IEHC 300', '[2016] 5 JIC 1215', '[2020] IEHC 505', '[2020] 10 JIC 2205', '[2001] IESC 64', '[2002] 1 I.R. 84', '[2003] IEHC 31', '[2003] 1 I.R. 208', '[2001] IESC 205', '[2002] 2 I.R. 418', '[2021] IEHC 658', '[2021] 10 JIC 2102', '[2019] IEHC 488', '[2019] 7 JIC 0207', '[2021] IEHC 322', '[2021] 5 JIC 1403', '[2008] IEHC 192', '[2012] ABQB 571', '[2007] IEHC 227', '[2008] 1 I.R. 561', '[2015] IEHC 590', '[2015] 9 JIC 1601', '[2020] IEHC 472', '[2020] 7 JIC 0802', '[2021] IEHC 254', '[2021] 4 JIC 2003', '[2021] IEHC 509', '[2021] 7 JIC 2802']","['[Planning and Development Act 2000', 'Planning and Development Act 2000', '2000 Act', 'Cork County Development Plan 2014', 'Retail Planning Guidelines 2012', 'Cork Joint Retail Strategy 2015', 'Amendment) Act 2018', 'Immigration Act 1999', '1999 Act', '2018 Act', 'Act of 2016', 'National Planning Framework', 'Planning and Development Act', 'Planning & Development Act 2000', 'Implementing INSPIRE Regulations', 'Planning System - Code of Practice for Planning Authorities.', 'Tax Relief Schemes - Certification Guidelines for Local Authorities', 'Planning and Development Acts 2000', 'Urban Renewal Scheme 1999']",2021_IEHC_683
"['[2019 316 P]', '[2008] IEHC 93', '[2005] 3 IR 457', '[1995] N.I. 6', '[2010] 4 IR 554', '[2012] 4 IR 681', '[2011] IEHC 538', '[2010] IEHC 294', '[1992] ILRM 722', '[2019] IEHC 268', '[1996] 1 ILRM 321', '[1932] A.C. 562', '[2002] 1 I.R. 84']","['Superior Courts (Conduct of Trials) 2016 (S.I. 254', 'Superior Courts 1986', 'Companies Act 1963']",2021_IEHC_695
"['[1995] 2 ILRM 561', '[1996] 2 I.R. at', '[1984] I.R. p. 151', '[2010] IESC 27', '[2015] IECA 74', '[2020] IESC 67', '[2005] IEHC 147', '[2011] IEHC 11', '[2012] IESC 50', '[2001] 2 I.R. 526', '[1982] I.R. 235', '[2010] IEHC 387', '[2005] 1 ILRM 290', '[2010] ECHR 1272', '[1991] I.L.R.M. 135', '[1991] I.L.R.M. 140', '[2015] IESC 32', '[2006] 3 I.R. 575', '[1972] 407 U.S. 514', '[2004] 3 IR 556', '[1984] IR 151']","['Statute of Limitations, Act 1957', '1957 Act', 'European Convention', 'Statute of Limitations', 'Statute of Limitations (Amendment) Act']",2021_IECA_287
"['[1997] IEHC 39', '[1985] IR 550', '[1931] 2 JIC 1201', '[2014] IEHC 176', '[2016] IECA 32']",[],2021_IEHC_734
"['[2018] IEHC 654', 'year 2016.', '[2018] 1 IR 189', '[2009] 3 I.R. 366']","['PLANNING AND DEVELOPMENT ACT', 'Planning and Development Act', '2000 Act', 'Board’s Decision', 'Planning and Development Regulations 2001', 'Act of 2000', 'Statute of Limitations']",2021_IECA_291
"['[2021]\xa0IESC\xa024', '[2021] 32\xa0E.L.R.\xa0213', '[2021] IESC 24', '[2016]\xa0IESC\xa020', '[2018]\xa01\xa0I.R.\xa0787', '[2006]\xa0IESC\xa045', '[2006]\xa04\xa0I.R.\xa088', '[2018]\xa0IESC\xa063', '[2019]\xa01\xa0I.L.R.M.\xa0305', '[2009]\xa0IESC\xa071', '[2010]\xa01\xa0I.R. 635', '[2017]\xa0IESC\xa082', '[1994]\xa02\xa0I.R.\xa0160', '[2019]\xa01\xa0I.R.\xa063', '29\xa0March 2019', '[2016]\xa0IECA\xa0141', '[1999]\xa01\xa0I.L.R.M.\xa0281', '[2014]\xa0IESC\xa050', '[2019]\xa0IESC\xa086', '[2019]\xa0IESC\xa017', '[2019]\xa02\xa0I.L.R.M.\xa0153', '[1984]\xa0I.R.\xa0381', '[2011]\xa01\xa0I.R.\xa0729']","['Unfair Dismissals Act 1977', 'Workplace Relations Act 2015', 'Workplace Relations (Miscellaneous Provisions) Act\xa02021', '2015 Act', 'Irish Constitution']",2021_IEHC_667
"['[2018] IEHC 185', '[2008] IEHC 320']",['Legal Test'],2021_IEHC_722
"['[2020 No.', '[2021] IEHC 597']","['Regulations of 2001', '2000 Act']",2021_IEHC_718
"['[2017] IECA 152', '[2018] IECA 121']","['CRIMINAL JUSTICE ACT 1993', 'Criminal Justice Act 1993', 'Criminal Justice (Theft and Fraud Offences) Act 2001', 'Criminal Justice Act 2006']",2021_IECA_321
"['[2021 No.', '[2020] IESC 12', '[2013] IEHC 322']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Damage Act', 'European Convention', 'ECHR', '2003 Act', 'European Council Framework Decision', 'Framework Decision']",2021_IEHC_738
"['[1998] IEHC 143', '[2016] IESC 15', '[2018] IESC 61', '[2018] 2 I.L.R.M. 453', '[2012] 3 I.R. 297', '[2013] IESC 34', '2019 36']","['Decision 70', 'Criminal Injuries Compensation Scheme', 'Criminal Injuries Compensation Scheme.']",2021_IEHC_702
['[1999] 2 A.C. 222'],[],2021_IESC_76
"['[2018 No.', '[2015] IEHC 664', '[2020] IEHC 515', '[2008] 4 I.R. 480', '[1950] 2 All E.R. 745', '[2010] IEHC 207']","['European Arrest Warrant Act', 'Act of 2003', 'Misuse of Drugs Act', 'European Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'Road Traffic Act', 'Licensing Act 1872', 'Licensing Act', 'Act of 1872', 'Road traffic Act', 'Criminal Code']",2021_IEHC_742
"['50 AGUS 50A DEN ACHT UM', '(2010: 11-9)', '[2004] 4 IR 126', '[2021] IEHC 230', '[1996] 3 IR 435', '(2007) Ollscoil', '[2015] IEHC 271', '[2004] IR 138', '[2013] IEHC 402', '[2001] 1 I.R. 565', '[2019] IEHC 352', '[2014] IEHC 487', '[2001] 1 IR 565', '[1953] SC 34', '[2017 IECA 250', '(1867) 1 ICLR 211', '[2003] IESC, rinne', '[1993] 1 IR 39', '[2010] IEHC 255', '[1986] TÉ 750', '[2004] IEHC 317', '(1973).', '[1981] 1 WLR 584', '[2020] IEHC 642', '[2021] IEHC 16', '[2004] 1 All ER 1159', '[2018] EWHC 2094 (Admin)', '[2019] 1 WLR 1649', '[2019] EWHC 130 (Admin)', '[2009] EWHC 2387 (Admin)', '[2001] UKHRR 165']","['Sceideal den Phríomh- Act', 'Acht Gaeltachta 2012', 'Planning Act']",2021_IEHC_703
"['2020 106', '2020  108', '2005 ECR 1 383', '[2011] IEHC 308', '[1950] 2KB 128', '[2001] 4 IR 607', '[2014] 1 IR 749', '[2015] IEHC 375', '[2012] IEHC 248', '[2003] 4 IR 1) 140', '2013 IEHC 197', '[2011] IEHC 314', '[2017] IEHC 765', '[2020] IECA 137', '[2013] IEHC 197', '[1983] I.R. 61', '[2012] IESC 55', '[2018] IEHC 145', '[1990] 221 Cal.', '[1985] 38 Cal.', '(1973) 10 Cal 38 351', '[2015] IESC 17', '[2020] IECA 221']","['Seventh Amendment.', 'Rome Regulation', 'Recast Brussels Regulation', 'California Code']",2021_IEHC_685
['[2020] IECA 50'],"['CRIMINAL JUSTICE ACT 1993', 'Criminal Justice Act 1993', 'Person Act 1997', 'Criminal Damage Act 1991', 'Criminal Justice Act 1999']",2021_IECA_320
"['[2020] IEHC 522', '[2020] IEHC 560', '[2021] IEHC 367']","['International Protection Act 2015', '2015 Act']",2021_IEHC_693
"['[2019] IEHC 216', '[2018] IESC 11', '[2021] IESC 26', '[2018] IECA 352', '[2020] IECA 86', '[2013] IEHC 194', '[2016] IEHC 69', '[2012] IEHC 363', '[2012] IEHC 459', '[2014] IEHC 284', '[2011] IEHC 438', '[2019] IEHC 184', '(Case C-415/11)', '[1995] 3 I.R. 459', '[1979] I.R. 326', '[2020] IEHC 18', '[2009] IEHC 141', '[2021] IECA 127', '[2020] IECA 87']","['Companies Act 2014', '2014 Act', 'Courts Act 1936', 'Registration of Title Act', '1964 Act', 'Conveyancing Acts 1881', 'Land and Conveyancing Law Reform Act', '2009 Act', 'Land and Conveyancing Law Reform Act 2013', '2013 Act', 'Registration of Title Act 1964', 'Act of 1964', 'Land and Conveyancing Law Reform Act 2009', 'Circuit Court Rules', 'Consumer Contracts) Regulations 1995', '1995 Regulations', 'Council Directive', 'Family Home Protection Act', 'Family Home Protection Act 1976', '2013 Housing Act', 'Interpretation Act 2005', '2005 Act', 'Bankers Books Evidence Act 1879', 'Bankers Books Evidence Act']",2021_IEHC_719
"['[2014] I.R. 749', '[2003] 4 I.R. 1', '[2006] IEHC 195', '[2007] 1 I.L.R.N. 203', '[2010] IESC 22', '[2008] IEHC 197', '[2007] 1 ILRM 203', '[1986] IR 603', '[1990] 1 IR 499', '[2017] IEHC 100', '[2000] 1 ILRM 271', '[2019] IECA 228', '[1995] 7 JIC 2704', '[2000] ILRM 271', '[2014] IEHC 350', '[1985] IR 697', '[2013] 1 I.R. 227', '[1985] I.R.697 for', '[2008] IEHC 168', '[2017] IECA 279', '[1938] ITR 571', '[1938] IR 626', '[2020] IEHC 295', '[2004] 2 I.R. 159']","['Taxes Consolidation 1997 Act', '1997 Act', 'Value Added Tax Consolidation Act 2010', 'Finance (Tax Appeals) Act 2015', '2010 Act', 'Income Tax Act 1967', '1967 Act', 'Income Tax Code', 'Bankruptcy and Insolvency Act 1857']",2021_IECA_300
"['[2021 No.218 EXT.', '[2008] IEHC 12', '[2010] 1 IR 97']","['European Arrest Warrant Act', 'Act of 2003', '2003 Act', 'Framework Decision', 'Criminal Code', 'Convention', 'European Arrest Warrant Act 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Justice Act 2006', 'Criminal Justice (Amendment) Act 2009', 'Criminal Justice (Amendment) Act']",2021_IEHC_758
"['[2006]\xa0IEHC\xa0340', '[2009]\xa0IEHC\xa011', '[1994]\xa03\xa0I.R.\xa0394']","['Habitats Directive', 'Environmental Impact Assessment Directive', 'Local Authorities (Works) Act 1949', 'Local Government Act 2001', 'Planning and Development Act 2000', 'Habitats Directive (Directive 43/92/EEC', 'Environmental Impact Assessment Directive (Directive 2011/92', 'Directive 2014/52']",2021_IEHC_666
"['[2020] IEHC 110', '[1967] 3 WLR 28', '[1966] 2 QB 414', '[2005] 1 IR 209', '[2007] 1 IR 502', '[1937] IR 125:-', '[1985] I.R. 697', '[1981] 3 All E.R. 383', '[1932] IR 28', '[2012] IECCA 68', '[2013] IEHC 579', '(1972) 1 Frewen 360', '[1997] 3 I.R. 453', '[2009] IEHC 368', '[1994] 3 IR 265', '[2010] IEHC 231', '[2008] IEHC 322', '[1935] 2 KB 249', '[1994] EWCA Civ 2', '[2005] IECCA 24', '[2013] IESC 16', '[1937] \u2009IR\u2009125', '[2020] IEHC 224', '[2016] IESC 9']","['SUMMARY JURISDICTION ACT 1857', 'Summary Jurisdiction Act 1857', 'Courts (Supplemental Provisions) Act 1961', 'Criminal Justice (Public Order) Act 1994', 'Against The Person Act 1997', 'Criminal Law Act 1997', '1997 Act', 'Act of 1997', '1994 Act', 'Immigration Act 1999', 'Police and Criminal Evidence Act 1984', 'Criminal Law Act 1996']",2021_IECA_290
[],[],2021_IEHC_689
"['[2020] IEHC 700', '[2021] IEHC 691', '[1974] IR 259', '[1988] IR 717', '[2013] 3 IR 406', '[2014] IESC 53', '[2014] IESC 1', '[2017] IESC 9']",[],2021_IEHC_723
"['(Case C-94/18)', '[2019] IEHC 837', '[2020] IESCDET 21', '[2010] 4 I.R. 211', '[2010] 2 I.R. 701', '[1953] I.R. 202', '[2011] 1 I.R. 729', '[2016] IEHC 600', '[2007] IEHC 234']","['Immigration Act', 'Act of 1999', 'European Communities (Free Movement of Persons) Regulations', 'Regulations and/or Directive', 'International Protection Act 2015', 'Act of 2015', 'State pursuant to Directive 2004/38', 'European Union Treaty', 'Directive/Regulations', 'European Convention', 'Immigration Act 1999', 'Directive 2004/38', '1999 Act']",2021_IECA_286
"['[1984] IR 458', '[1998] 3 IR 132', '[1999] IEHC 245', '[2017] 3 IR 785', '[2020] IECA 91', '[2018] IESC 61', '[1986] IEHC 41', '[1987] ILRM 36']","['2014 Act', '1946 Act', 'Forestry Act', 'Forestry Act 1946', 'Forestry Act 2014', 'Licence Revocation Decision']",2021_IEHC_735
"['[2018 10626 P]', '[2021] IECA 3', '[2005] IEHC 526', '[2020] IESC 67', '[2020] IEHC 172']",['Statute of Limitations'],2021_IEHC_762
"['[2021] IECA 206', '[2020] IEHC 240', '[2020] IEHC 689', '[1992] 1 Lloyds Rep. 180', '(1843) 3 Hare 100', '[2015] EWHC 3745 (Comm)', '[2013] IESC 16', '[2013] 1 IR 227', '[2021] IESC 12', '(2015) 26(4) ICCLR 145', '[1977] ECR I-2175', '[1990] 1 WLR 350']","['Bulgarian Civil Procedure Code', 'Recast Regulation', 'European Convention', 'ICC Rules', 'Recast Regulation – Articles 44', 'Brussels 1a Regulation', 'Brussels Convention']",2021_IECA_303
"['[2018] IECA 255', '[2019] IECA 5', '[2017] IECA 97', '[2020] IECA 294', '[2017] IECA 31', '[2006] IECCA 37', '[2003] 3 I.R. because', '[2015] IECA 94']","['CRIMINAL JUSTICE ACT 1993', 'Criminal Justice Act 1993', 'Road Traffic Act 1961', 'Road Traffic Act 2010', 'Road Traffic Act', 'Misuse of Drugs Act 1997']",2021_IECA_354
"['[2021] IECA 240', 'issue  21', '(2009/C295/01 )', '[2019] IEHC 557', '[2018] ECHR 674', '(Application No 2573/03)', '(Application No 36391/02)', '[2010] E.C.H.R. 84', '(1991) 13 E.H.R.R. 26', '[1976] I.R. 325', '[2020] IECA 304', '[2001] 1 S.C.R. 863', '[28].  85']","['Criminal Justice (Female Genital Mutilation) Act', 'Children Act 2001', 'Democratic Republic of Congo.', 'Law Directive 2010/64', 'Interpretation and Translation Directive  46', 'Directive 2010/64', 'Interpretation and Translation Directive', 'European Arrest Warrant', 'Directive 2012/13', 'European Communities Act 1972', 'Garda Siochána Stations) Regulations', 'Criminal Proceedings) Regulations', 'Interpretation and Translation Regulations', 'Interpretation and Translation Regulations  55', 'European Convention', 'Sex Offenders Act 2001', 'Criminal Law (Human Trafficking) Act 2008', 'Act of 2001', 'Irish Constitution', 'ECHR', '2010 Directive', 'Criminal Justice Act', '1984 Act', '2013 Regulations', '2001 Act']",2021_IECA_315
"['[2019 No.', '[2002] 2 IR 32', '[2011] IEHC 251', '[2002] 2 IR 613', '[2006] 17 ELR 137', '[2001] 2 BCLC 427']","['COMPANIES ACT', 'Companies Act', '2014 Act', 'Companies Act 1963', 'Companies (Amendment) Act', 'Judicature (Ireland) Act']",2021_IEHC_720
"['[2021]\xa0IESC\xa026', '[1994]\xa01\xa0A.C.\xa0200', '[2002]\xa02\xa0A.C.\xa0773', '[2017]\xa0IECA\xa0166', '[2015]\xa0IESC\xa046', '[2016]\xa01\xa0I.R.\xa092', '[2009]\xa0IEHC\xa0141', '[2020]\xa0IEHC\xa018', '[2020]\xa0IECA\xa0183']","['Registration of Title Act 1964', 'Family Home Protection Act 1976', 'Circuit Court Rules', 'Land and Conveyancing Law Reform Act 2009', 'Land and Conveyancing Law Reform Act 2013', 'Act 1976', 'FHP Act 1976', 'Legal Services Regulation Act 2015']",2021_IEHC_665
"['[2014] IESC 24', '[1997] 2 ILRM 81', '[2021] IEHC 679', '(1981) 1 WLR 896', '(1982) 1 WLR 774']",['Registration of Clubs Act 1904'],2021_IEHC_736
"['[2020] 1 I.L.R.M. 157', '[2018] IEHC 294', '[1998] 1 I.R. 539', '[2020] 2 I.L.R.M. 309', '[2010] 2 I.R. 701', '[1996] 2 I.R. 296', '[2010] 4 I.R. 403']","['Disability Act', '2007 Regulations', 'Act of 2005', 'Health Act', '2005 Act', 'Special Educational Needs Act', 'EPSEN Act', 'Act of 1947', 'Criminal Law (Insanity) Act']",2021_IECA_285
"['[2021 No.', '[2018] IEHC 632']","['Adoption Act 2010', 'Adoption Acts 2010', 'Act of 2010']",2021_IEHC_829
"['[2020] IESC 000', '[2020] IECA 362', '[1953] SC 34', '(1981) 2 Frewen 57', '[2013] IECCA 3', '[2013] 2 IR 221', '[2018] IECA 262', '[1986] ILRM 716', '[1965] AC 1001', '[2015] IESC 96', '[2015] 2 IR 656', '[1963] IR 368', '[1914] AC 545', '(1986) 82 Cr App R 79', '(1944) 60 LQR 201', '[1992] ILRM 481', ', 1975) 370', ', 1911) 491', ', 1931) 59.', '(1993) 97 Cr App R 260', '[2020] IESC 26', '[1978] 1 All ER 672', '[1943] IR 279', '[2017] 3 IR 417']","['Criminal Procedure Act 1967', '1997 Act', 'Medical Practitioners Act 1978', 'Criminal Justice Act 1984', 'Criminal Justice Act 2006', 'Dublin 1951', 'Criminal Evidence Act 1992', 'Miscellaneous Provisions) Act 2020', '1992 Act', '2006 Act']",2021_IESC_74
"['[2020] IEHC 313', '[2020] 2 I.L.R.M. 110', '[2006] 2 I.R. 556', '[1985] I.R. 289', '[2018] 1 IR 417', '[2018] 1 I.R. 417', '[2012] 2 I.R. 1:-']","['European Convention', 'Constitution (Articles 18.4.2°', 'Seanad Electoral (Universities Members) Act 1937', '1937 Act', 'Convention', '1979 Decision', '1947 Act', 'Seanad Bill 2016', '1922 Constitution', '1937 Constitution', '1979 Amendment', 'Rome Statute', 'Constitution.', 'EUROPEAN CONVENTION', 'Human Rights Act 2003', '2003 Act', 'Act of 2003', 'Seanad Electoral (University Members) Act 1937']",2021_IEHC_716
[],[],2021_IEHC_757
