CITATION,INSTRUMENT,Neutral Citation
"['[2019 No.', '[2015] IEHC 69', '(Case C-571/17 PPU', '[2020] IESCDET 54', '[2020] IESC 40']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Penal Code', 'European Council Framework Decision 2009/299/JHA']",2021_IEHC_840
[],"['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'Act of 2003 12', 'Council Framework Decision 2009/299/JHA']",2021_IEHC_587
"['[2011] 1IR 384', '(Application to Third Countries and Amendment) and Extradition (Amendment) Act', '[2006] 3 I.R. 148', '[2010] IESC 27', '[2011] 1 I.R. 386', '[2012] 4.I.R. 1', '[2012] IEHC 575', '[2013] IEHC 290', '[2013] IEHC 62', '[1999] 1 A.C. 320', '[2014] IEHC 132', '[2005] IESC 76', '[2005] 4 I.R. 260', '[1988] A.C. 924', '[1999] A.C. 54', '[2005] IESC 83', '[2006] 1 I.R. 518', '[2011] IESC 1', '[2011] 1 I.R. 384', '(Case C-105/03)', '[2005] E.C.R. 1']","['European Arrest Warrant Act', 'Act of 2003', 'Framework Decision', 'Criminal Code', 'Lithuanian Criminal Code', 'European Arrest Warrant', 'European Arrest Warrant Act 2003', 'Act of 2005', 'European Council Framework Decision', 'Act of 1989', 'Criminal Justice (Miscellaneous Provisions) Act 2009', 'European Convention', 'Human Rights 1950', 'Criminal Justice (Terrorist Offences) Act 2005']",2021_IECA_219
"['[2020] IEHC 389', '(Case C-627/19 PPU)', '[2020] IESC 12', '(No.2)', '[2016] 2 ILRM 262', '[2016] IESC 17', '[2008] 1 I.R. 669', '[2019] IESC 31', '[2007] 3 I.R. 732', '[2013] 4 I.R. 206']","['European Arrest Warrant Act 2003', 'European Convention', 'Framework Decision', 'CJEU', 'Convention', 'Act of 2003', 'Irish Constitution', 'Framework Decision.']",2021_IESC_27
['[2017 No.'],"['European Arrest Warrant Act', 'Act of 2003', 'Council Framework Decision', 'Framework Decision']",2021_IEHC_179
"['[2020 No.', '[2020] IESC 12']","['European Arrest Warrant Act', 'Act of 2003', 'Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'Act of 2001', 'European Convention', 'ECHR', '2003 Act']",2021_IEHC_196
['[2020 No.'],"['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Framework Decision', 'Council Framework Decision 2009/299/JHA']",2021_IEHC_207
"['(No.2)', '[2016] 2 I.L.R.M. 262', '[2020] IESC 12', '[2013] IEHC 323', '[2013] IEHC 54', '[2013] IEHC 322', '[2013] IEHC 330', '[2013] IEHC 465', '[2012] U.K.S.C. 25', '[2013] 4 I.R. 206', '[2014] IEHC 320', '[2016] WLR 551', '[2021] IESC 27', '[2019] IESC 31', '[2010] 3 I.R. 783', '(Case C - 404/15)']","['European Arrest Warrant Act', '2003 Act', 'European Convention', 'European Arrest Warrant Act 2003', 'Act of 2003?', 'Council Framework Decision', 'Framework Decision', 'Irish Act of 2003', 'Article 8 Convention', 'Convention']",2021_IECA_188
"['[2020 No.', '[2009] IESC 67', '(Case C-571/17 PPU', '[2018] IESC 8']","['European Arrest Warrant Act', 'Act of 2003', 'Council Framework Decision', 'Framework Decision', 'Framework Decision 2002/584', 'Council Framework Decision 2009/299/JHA', 'European Convention', 'ECHR']",2021_IEHC_270
"['[2008] IEHC 289', '[2011] IEHC 328', '[2015] IEHC 638']","['Government Framework for Restrictive Measures', 'Immigration Act 2004', '2004 Act', 'Employment Permits Act 2003', 'Act of 2004', 'International Protection Act 2015', 'Fisheries (Amendment) Act 1997', 'Fisheries (Amendment) Act 2001']",2021_IEHC_227
"['[2020 No.', '[2013] 1 I.R. 470']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'Road Traffic Act', 'Act of 2003 11', 'Act of 2003 13', 'Criminal Code', 'Act of 2003 23', 'Council Framework Decision 2009/299/JHA', 'Act of 2003 30', 'European Convention', 'Constitution.']",2021_IEHC_698
"['2021 1', '[2020] IEHC 618']","['Act of 2003', 'European Arrest Warrant Act 2003', 'European Convention', 'Framework Decision']",2021_IEHC_374
"['[2016] IEHC 642', '[2011] IEHC 165', '[2011] IEHC 175', '[2012] IEHC 44', '(Case C- 277/11)', '[2013] I WLR 1259', '(Case C- 564/14)', '[2017] 1 WLR 1631', '[2018] IESC 10', '[2013] I.R. 370', '[2013] 1 WLR 1259', '[2017] 1 WLR)', '(Case-C560/14)', '[2017] 3 C.M.L.R. 2', '[2018] 1 I.L.R.M. 361', '[1943] 2 All ER 560', '[1996] I.L.T.R. 46', '[1998] I.L.T.R. 46', '[2015] IESC 73', '(1999) Imm AR', '[2000] 4 I.R. 408', '[2011] IESC 50', '[2012] IEHC 189', '[1971] I.R. 317', '[2016] IEHC 300', '[2019] IEHC 65', '[2015] IESC 30', '[2019] IESC 75', '[2020] IECA 184', '[2020] IESC 44', '[1992] 156 JP 567', '[1992] Crims LR 451']","['2006 Regulations', 'Directive 2004/83/EC', 'Qualifications Directive', 'Refugee Act 1996', '1996 Act', 'European Union (Subsidiary Protection) Regulations 2013', '2013 Regulations', 'International Protection Act 2015', '2015 Act', 'Immigration Act 1999', '1999 Act', 'Act of 1999', 'Illegal Immigrants (Trafficking) Act 2000', 'Immigration Act', 'Council Directive 2004/83', 'Directive 2004/83', 'ECHR']",2021_IECA_106
