CITATION,INSTRUMENT,Neutral Citation
['[2011] IESC 1'],"['European Arrest Warrant Act', 'Act of 2003', 'Theft and Fraud Offences Act 2001', 'Framework Decision', 'Criminal Code', 'Act of 2005']",2022_IEHC_314
"['[2021] IEHC 712', '[2020] IESC 27', '[2010] 2 IR 701', '[1986] IR 642', '[2021] IECA 1', '(Case C 83/11)', '[2020] IESC 78', ', 2016.']","['European Communities (Free Movement of Persons) Regulations 2015', '2015 Regulations', 'Immigration Act 1999', 'Directive 2004/38', 'GDPR 2018', 'Directive 2004/38/EC', 'Citizens Directive']",2022_IEHC_284
"['[2018 No.', '[2020] IESC 12', '[2013] IEHC 322', '[2020] IEHC 657', '(Case C-479/21 PPU)']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'International Protection Act', 'Act of 2015', 'European Convention', 'ECHR', 'Dublin III Regulation', 'Act of 2015 14', 'European Council Directive 2005/85', 'Asylum Procedures Directive', 'United Nations Convention', '1951 Convention', '2003 Act', 'European Union 59']",2022_IEHC_71
"['[2021 No.', '[2015] IESC 49', '[2014] IESC 34', '[2014] 1 IR 720', '[2008] IESC 53', '[2009] 1 IR 618', '[2019] IEHC 251', '[2012] IEHC 315', '[2009] IESC 83', '[2006] IECCA 71', '[2006] 3 IR 425', '[1981] IR 489', '[1971] I.R. 132', '[1974] I.R. 378', '[1979] I.R. 423', '[2004] IESC 1', '[2004] 1 IR 40', '[2020] IECA 159', '[2005] IESC 13', '[2005] IEHC 292', '[2012] IEHC 180']","['European Arrest Warrant Act', 'Act of 2003', 'Act of 2003?', 'Framework Decision', 'Council Framework Decision 2009/299/JHA', 'Criminal Justice (Terrorist Offences) Act 2005', 'Criminal Law Act 1967', 's4(1) Criminal Law Act 1967', '1967 Act', ""Magistrates' Courts Act 1980"", 'Criminal Justice Act', 'Criminal Law Act', 'Criminal Law (Suicide) Act', 'UK Criminal Law Act', 'Criminal Law Act 1997', '2003 Act', 'Extradition Act 1965', '2002/584/JHA']",2022_IEHC_162
"['[2021 No.', '(No.2)', '[2007] 2 IR 265', '[2004] IESC 1', '[2004] 1 I.R. 40', '[2009] IESC 48', '[2010] IEHC 315', '[2006] IEHC 95']","['European Arrest Warrant Act', 'Act of 2003', 'Road Traffic Regulations', 'European Arrest Warrant Act 2003', 'Theft and Fraud Offences) Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'Road Traffic Act', 'Act of 1961']",2021_IEHC_837
"['[2021 No.', '[2007] IESC 20', '[2007] 3 IR 414', '[2021] IECA 159', '[2011] IEHC 287', '[2011] IEHC 286', '[2015] IESC 49', '[2014] IESC 34', '[2010] IEHC 200', '[2009] IESC 13', '[2009] 3 IR 390']","['European Arrest Warrant Act 2003', 'Act of 2003', 'Council Framework Decision 2009/299/JHA', 'Framework Decision', '2003 Act', 'Criminal Justice (Theft And Fraud Offences) Act 2001', 'Criminal Justice (Terrorist Offences) Act 2005']",2022_IEHC_119
"['[2021 No.', '[2015] IESC 49', '[2014] IESC 34', '[2014] 1 IR 720', '[2008] IESC 53', '[2009] 1 IR 618', '[2019] IEHC 251', '[2012] IEHC 315', '[2009] IESC 83', '[1981] IR 489', '[1971] I.R. 132', '[1974] I.R. 378', '[1979] I.R. 423', '[2004] IESC 1', '[2004] 1 IR 40', '[2020] IECA 159', '[2005] IESC 13', '[2005] IEHC 292', '[2012] IEHC 180']","['European Arrest Warrant Act', 'Act of 2003', '2003 Act', 'Framework Decision', 'Council Framework Decision 2009/299/JHA', 'Criminal Justice (Terrorist Offences) Act 2005', 'Criminal Justice Act', 'Criminal Law Act', 'Criminal Law (Suicide) Act', '1967 Criminal Law Act', 'Extradition Act 1965', '2002/584/JHA']",2022_IEHC_159
"['[2017] IESC 65', '[2018] IEHC 702', '[2021] IESC 59']","['Court Services Act', 'European Convention', 'Courts Service Act']",2022_IEHC_266
"['[2014 No.', '[2011] IESC 1', '[2011] 1 IR 384']","['European Arrest Warrant Act', 'Act of 2003', '2002/584/JHA', 'Council Framework Decision 2009/299/JHA', 'Framework Decision', 'Criminal Law (Human Trafficking) Act 2008', 'Constitutional and/or Convention', '2003 Act', 'Lithuanian Republic Code of Criminal Procedure Article 69', 'European Convention', 'Criminal Process Code', 'Criminal Procedure Code', 'European Arrest Warrant Act 2003', 'Criminal Code', 'Code of Criminal Procedure of the Republic of Lithuania', 'Act of 2005']",2022_IEHC_118
"['[2020] IEHC 143', '[2012] 4 I.R. 1', '[2010] IESC 45', '[2010] 3 I.R. 783', '[2018] IESC 27', '[2018] 2 I.R. 357', '[2020] IEHC 202', '[2021] IECA 165', '[2013] IESC 7', '[2013] 1 I.R. 470', '[2016] IESC 17', '[2016] 2 I.L.R.M. 262', '[2001] UKHL 69', '[2002] 1 A.C. 556', '[1927] 4 I.L.R. 5']","['European Arrest Warrant Act 2003', '2003 Act', 'Council Framework Decision 2002/584', 'Framework Decision', 'Offences Against the Person Act 1861', '1861 Act', 'Criminal Justice Act 2006', '2006 Act', 'European Convention']",2022_IESC_12
