CITATION,INSTRUMENT,Neutral Citation
"['[2021]\xa0IEHC\xa0578', '[2021]\xa0IEHC\xa0562', '[2010]\xa0EWHC\xa0837 (TCC)', '(2010) 130\xa0ConLR\xa090', '[2008] EWHC 2025 (TCC)', '[2008] BLR 545', '[2006] EWHC 848 (TCC)', '[2006] BLR 315', '[2017]\xa0CSOH\xa038', '[2017]\xa0CSOH\xa0143', '[2020]\xa0IEHC\xa0623']","['CONSTRUCTION CONTRACTS ACT 2013', 'Construction Contracts Act 2013', 'Debtors (Ireland) Act 1840', 'Legal Services Regulation Act 2015']",2022_IEHC_3
[],[],2022_IECA_9
"['[2020 572 JR]', '[5.14]', '[2019] IEHC 763', '[2020] IEHC 589', '[2007] IEHC 299', '[2019] IEHC 474', '[2017] 1 IR 325', '[2004] All ER (D) 14']","['s.31 International Protection Act', 'Democratic Republic of Congo)', 'International Protection Act 2015', '2015 Act', 'Human Rights Watch Report for South Africa 2019', 'USSD 2018']",2021_IEHC_817
"['[2020 No.', '[2020] IEHC 703', '[2011] 1 I.R. 585', '[2013] IEHC 561', '[2007] 1 I.R. 580', '[2008] IESC 28', '[2008] 4 I.R. 498', '[1998] 2 All E.R. 124', '[2016] IEHC 689']","['COMPANIES ACT 2014', 'Companies Act', 'Act of 2014']",2022_IEHC_10
"['4 36', '[2015] IECA 256', '[2014] IECCA 12', '[2019] IECA 133', '[2020] IECA 172', '[2020] IECA 256', '[2011] IECCA 79', '[1972] 1 Frewen 351', '[2000] 4 I.R.356 at 359']","['CRIMINAL JUSTICE ACT', 'Sex Offender Act 2001', 'Criminal Law (Sexual Offences) Act 2017', 'Criminal Justice Act', 'Court’s Decision 54']",2022_IECA_40
"['[2016] IECCA 1', '[2020] IECA 140', '[1972] 1 Frewen 351']","['Misuse of Drugs Act', 'Misuse of Drugs Act 1977', '1977 Act']",2022_IECA_17
"['[2017] IEHC 401', '[1984] 6 JIC 2901']","['TEACHNG COUNCIL ACT 2001', 'Teaching Council Act 2001', 'Criminal Law Sexual Offences Act 2006', 'Child Trafficking and Pornography Act 1998', 'Criminal Law (Sexual Offences) (Amendment) Act 2007', 'Criminal Law (Human Trafficking) Act 2007']",2022_IEHC_30
['[2021 NO.'],"['Proceeds of Crime Act 1996', '1996 Act', 'Criminal Justice (Money Laundering and Terrorist Financing) Act 2010', '2010 Act']",2022_IEHC_26
"['[2021] IECA 206', '[2021] IECA 303', '[2012] IESC 49', '[2012] 3 IR 152', '[2016] IESC 48', '[2016] 2 IR 680', '[2009] ECR I-03571', '[1992] 1 Lloyd’s Rep. 180']",['Recast Regulation'],2022_IECA_5
"['[2021 No.', '[2007] IESC 20', '[2007] 3 IR 414', '[2021] IECA 159', '[2011] IEHC 287', '[2011] IEHC 286', '[2015] IESC 49', '[2014] IESC 34', '[2010] IEHC 200', '[2009] IESC 13', '[2009] 3 IR 390']","['European Arrest Warrant Act 2003', 'Act of 2003', 'Council Framework Decision 2009/299/JHA', 'Framework Decision', '2003 Act', 'Criminal Justice (Theft And Fraud Offences) Act 2001', 'Criminal Justice (Terrorist Offences) Act 2005']",2022_IEHC_119
"['[2001] 3 IR 127', '[2001] 3 I.R. 127', '[2000] 3 IR 87']",[],2021_IECA_347
"['[2021] IESC 1', '[2021] IEHC 318', '[1996] 2 IR 79']",[],2021_IEHC_836
"['[2022] IECA 4  The President', 'The Application Counsel', '[2009] IEHC 559', '[2021] IEHC 83']","['Person Act 1997', 'Criminal Evidence Act 1992', '1992 Act', 'Children Act 2001', 'Criminal Justice (Victims of Crime) Act 2017', 'Criminal Justice Act 1993', '1993 Act', 'Criminal Procedure Act 2010', '2010 Act', 'Criminal Justice (Sexual Offences) Act 1993']",2022_IECA_4
"['the CJEU', 'in Case C 530/11 European Commission v United Kingdom']","['PLANNING AND DEVELOPMENT ACT', 'Residential Tenancies Act 2016', '2016 Act', 'Construction Waste and Demolition Management Plan and a Construction Management Plan', 'Construction Waste and Demolition Management Plan', 'Habitats Directive', 'EIA Directive', '2006 Act', '2000 Act', 'Impugned Decision', 'Habitats Regulations 2011', '2011 Regulations']",2022_IEHC_11
['[2014] IEHC 79'],"['Legal Services Regulation Act 2015', 'Convention']",2021_IEHC_816
