CITATION,INSTRUMENT,Neutral Citation
"['[2018 No.', '[2018] IECA 392', '[2019] IESCDET 124', '[2019] IESCDET 155', '[2015] IESC 64', '[2015] 3 I.R. 164', '[2015] IECA 192', '[2015] 3 I.R. 385', '[2019] IEHC 368', '[2019] 4 JIC 1223', '[2004] UKHL 27', '[2004] 2 AC 368', ', Application No.', '[2013] 53 EHRR 3', '[2008] 47 EHRR 18', '[1983] I.R. 88', '[2018] IEHC 98', '[2018] 1 JIC 1607', '[2008] IESC 25', '[2008] 3 I.R. 795', '[1986] I.L.R.M. 593', '[2007] IEHC 398']","['International Protection Act 2015', 'European Convention', 'Human Rights Act 2003', '2015 Act']",2020_IEHC_571
"['[2019] IEHC 698', '[2017] 1 I.R. 372', '[2013] IESC 8', '(Application No.', '[1996] 3 I.R. 549', '[2013] IESC 9', '[2011] IEHC 415']","['Refugee Act', 'Act of 1996', 'Family Law Act', 'Act of 1995', 'Family Law (Divorce) Act', 'European Convention', 'ECHR', 'Family Reunification Directive 2003/86', 'Family Reunification Directive', 'Acts of 1996', 'EU Family Reunification Directive', 'Refugee Act 1996']",2020_IECA_241
[],"['Immigration Act 1999', 'Act of 1999', 'European Convention']",2020_IEHC_526
"['[2020 No.', '[2020] IEHC 143']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'European Convention', 'ECHR', 'Framework Decision', 'Council Framework Decision']",2021_IEHC_90
"['2020 / 5 JR IN', '[2011] IEHC 529']","['Immigration Act', 'International Organisation for Migration', 'Immigration Act 1999', 'International Organisation for Migration Voluntary Assisted Return and Reintegration Programme', 'Illegal Immigrant (Trafficking) Act 2000', 'Deportation Order 16']",2020_IEHC_588
"['[2020 No.', '(Case C-216/18 PPU)', '[2019] IESC 80']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Act of 2001', 'Council Framework Decision', 'Framework Decision', 'European Convention', 'ECHR']",2021_IEHC_4
"['[2019 No.', '[2012] 3 IR 297', '1 1', '[2018] IEHC 630', '[2001] 1 IR 190', '[2006] 2 IR 221', '[2013] 1 IR 247', '51 38', '(Application No.']","['Illegal Immigrants (Trafficking) Act 2000', 'Employment Permits (Amendment) Act 2014', 'International Protection Act 2015', 'Act of 2000', 'Offences against the Person Act 1861', '2015 Act', 'Remain’ Decision', 'Act of 2015', 'Gas Act 1976', 'Act of 1976', 'Act?', 'SECOND KEY QUESTION RAISED', 'Act of 2004', 'Act of 1999', 'Refugee Convention 1951', 'Refugee Convention', 'European Convention', 'ECHR']",2021_IEHC_32
"['[2020 No.', '(Case C-270/17 PPU)']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Law (Rape) (Amendment) Act', 'Act of 2003 7', 'Act of 2003 11', 'Mental Health Act', 'Criminal Law (Insanity) Act']",2021_IEHC_73
"['[2008] IESC 52', '[2009] IESC 48', '[1979] IR 423', '[2018] IECA 204']","['European Arrest Warrant Act 2003', 'Act of 2003', 'European Convention', 'Convention', 'Council Framework Decision', 'Framework Decision', 'Criminal Code', 'Criminal Justice (Theft and Fraud Offences) Act', 'Act of 2001', '2001 Act', 'Extradition Act', 'Act of 2003 31']",2020_IEHC_357
"['[2019 No.', '[2012] IESC 3', '[2012] 1 I.R. 574', '[1987] I.R. 550', '[1980] I.R. 269', '[2019] IESC 18', '[2019] 2 I.L.R.M. 1', '[1991] 2 I.R. 43', '[2017] IEHC 242', '[2017] 4 JIC 2402', '[2020] IECA 22', '[2020] IEHC 97', '[2020] 2 JIC 1002', '[2007] 1 W.L.R. 2734', '[2010] EWHC 3407 (Admin)', '[2015] IEHC 579', '[2013] IESC 1', '[2013] 1 I.R. 247', '[2015] IEHC 40', '[2006] 4 I.R. 1']","['International Protection Act 2015', '2015 Act', 'Asylum Procedures Directive 2005/85', 'Civil Liability Act 1961']",2020_IEHC_402
"['[2009] IESC 48', '[2020] IESC 12', '(Case C-270/17;', '(Case C-571/17 PPU', '[2018] IESC 8']","['European Arrest Warrant Act 2003', 'Act of 2003', 'European Convention', 'ECHR', 'Act of 1997', 'Criminal Damage Act', 'Act of 1991', '1991 Act', 'Act of 2003 17', '2003 Act', 'Framework Decision', 'Council Framework Decision']",2020_IEHC_395
