CITATION,INSTRUMENT,Neutral Citation
"['[1976] IR 217', '[2021] IECA 123', '[2021] IECA 29', '[2017] IECA 293', '[2021] IECA 17', '[2021] IECA 171']","['General Application Regulations S.I. 299/2007', '2005 Act', 'Civil Liability and Courts Act', '2004 Act']",2021_IECA_252
"['[2008] 1 WLR 1910', '[1992] 2 CMLR 57', '[1993] 2 CMLR 887', '[2013] ICR 389']","['European Convention', 'Employment Permits Act 2003', 'Employment Permits Act', 'Employment Permits Act 2006', 'European Communities Acts 1972', 'Immigration Act 2004', '2004 Act']",2021_IEHC_692
"['[2015] IEHC 309', '[2020] IEHC 89', '[1990] 2 I.R. 558', '[1982] I.R. 466', '[2001] 1 I.R. 64', '[1992] 2 I.R. 155']","['Civil Partnership and Certain Rights and Obligations of Cohabitants Act', 'Succession Act 1965', '2010 Act', 'Obligations of Cohabitants Act 2010', 'Family Home Protection Act', '1976 Act', 'Succession Act', '1965 Act', 'Judicial Separation and Family Law Reform Act', '1989 Act', 'Interpretation Act']",2021_IEHC_684
"['[2020 No.', '[A229].  The River Boyne', '[1355].  An', '[2021] IEHC 265', '[1995] E.C.R. I-45990', '[1995] ECR I-04705', '[2007] E.C.R. I-4233', '(C- 131/09)', '[2011] IESC 29', '[2012] 2 I.R. 99', '[2014] IEHC 400', '[2014] 7 JIC 2503', '[2017] IESC 60', '[2017] 7 JIC 2706', '[2017] IEHC 268', '[2017] 5 JIC 0403', '[2018] IESC 31', '[2018] 2 I.L.R.M. 453', '[2018] IEHC 461', '[2018] 7 JIC 1709', '[2019] IEHC 84', '[2019] 2 JIC 0804', '[2019] IESC 90', '[2020] 1 I.L.R.M. 637', '[2019] IEHC 450', '[2019] 6 JIC 2103', '[2019] IEHC 824', '[2019] 12 JIC 0503', '[2020] IEHC 39', '[2020] 1 JIC 3104', '[2020] 8 JIC 3101', '[2020] 11 JIC 2501', '[2020] IEHC 622', '[2020] 12 JIC 0201']","['Trim Town Development Area Plan 2014', 'Natura 2000', 'Best Practice Management Guidelines', 'EIA directive 2011/92', 'Aarhus Convention', 'Directive\xa02011/92', 'Directive 2014/52', 'Directive 2011/92', 'Espoo Convention', 'ECE Convention', 'Planning and Development Act 2000', 'Planning and Development Regulations 2001', 'Residential Tenancies Act 2016', 'Development (Amendment) Regulations 2018']",2021_IEHC_610
"['[2021 No.', '[2017] IEHC 632', '[2020] IECA 186', '[2013] 1 I.R. 247', '[2002] 3 I.R. 1', '[1939] 1 All E.R. 805', '[2017] 1 I.R. 417', '[1984] I.R. 485', '[2014] 3 I.R. 420', '[2021] IESC 24', '(1918) 25 C.L.R. 434', '[1990] 2 I.R. 396', '[2001] 4 I.R. 61', '[2002] 2 AC 1', '[2021] IESC 42', '[2003] 4 I.R. 302', '[2020] IECA 360']","['Market) Regulations 2007', 'Medicinal Products (Control of Manufacture) Regulations', 'Medical Practitioners Act 2007', '2007 Act', 'Irish Medicines Board Act 1995', 'Medicinal Products (Control of Manufacture) Regulations 2007', 'Supply) Regulations 2003', 'Medicinal Products (Prescription and Control of Supply) Amendment Regulations 2003', 'Medicinal Products (Prescription and Control of Supply) Amendment Regulations 2008', 'Annual Retention Application', 'Constitution 38', 'Medical Practitioners Act', 'Medical Practitioners Act 1978', 'Act of 2007', '1978 Act', 'Medical Practitioner’s Act 1978', '2015 Act', 'Constitution   49', '[Medical Practitioners Act']",2021_IEHC_606
"['[2020] IEHC 79', '[2018] IEHC 379', '[2013] IEHC 130', '[2019] IESC 28', '[2019] IEHC 651', '[2020] IECA 92', '(1843) 3 Hare 100', '[1955] Ch.', '[1965] IR 1', '[2003] 1 IR 396', '[2005] IESC 12', '[2005] 1 IR 274', '[1998] 1 WLR 896', '[2017] IESC 31', '[2019] IESC 2', '[1998] HCA 13', '(1998) 193 CLR 46', '(1988) 13 ACLR 631', '[1932] NZLR 195', '[1961] Ch.', '[2015] IEHC 591', '(1938) 56 WN (NSW) 23', '[2020] IECA 167', '[1985] ILRM 109', '[2009] IESC 2', '[2005] IEHC 449', '[2004] 1 All ER (Comm.)', '[2012] IEHC 228', '[2012] 4 IR 634', '[1995] 1 ILRM 123', '[2014] IEHC 266', '(2000) IESC 13', '[2020] IEHC 677', '[2019] IESC 12', '[2013] IESC 16', '[2013] 1 IR 227', '(Application no.', '(Application No.']","['Land and Conveyancing Reform Act 2009', 'Central Bank Act', 'Conveyancing Act 1881', '1881 Act', 'Conveyancing Acts 1881', 'Land and Conveyancing Law Reform Act 2009', '2009 Act', 'Consumer Credit Act 1995', 'European Convention']",2021_IECA_248
"['[2020 No.', '[2021] IEHC 312', '[2021] 5 JIC 1002', '[2006] IEHC 250', '[2006] 7 JIC 1302', '[2006] IEHC 102', '[2007] 4 I.R. 112', '[2021] IEHC 403', '[2021] 6 JIC 1602', '[2019] IECA 232', '[1993] 1 I.R. 39', '467 U.S. 837', '[2021] IECA 98', '[2021] 3 JIC 2902', '[2021] IEHC 265', '[2021] IEHC 610']","['PLANNING AND DEVELOPMENT ACT 2000', 'TENANCIES ACT 2016', 'Planning and Development Act 2000', 'Planning and Development Regulations 2001', 'Residential Tenancies Act', 'EIA Directive', 'EIA directive 2011/92', 'Water Framework Directive', 'Directive 2000/60', 'Directive 2001/42', 'Environmental Impact Assessment Directive', 'Directive 2002/49', 'Directive 2008/50', 'Directive 2007/60', '2000 Act']",2021_IEHC_597
"['[2018] IEHC 532', '[2012] IESC 62', '[2013] 1 IR 169', '[2015] IEHC 690', '[1967] IR 323', '[2011] IEHC 376', '[2014] 2 IR 301', '[2016] 2 IR 283', '[2021] IECA 130', '[2013] 1 I.R. 227', '[2021] IESC 12', '[2011] IEHC 108', '[2017] 2 IR 196', '[2016] IECA 235']","['EU Motor Insurance Directive 2009/103', 'Civil Liability Act', 'Road Traffic Act', '1961 Act']",2021_IECA_249
"['[2015] EWHC 3395 (QB)', '[1989] IR 91', '[2020] IESC 6', '[2020] IEHC 286']",[],2021_IEHC_650
"['2020 IEHC 621', '[2021] IEHC 623', '[2020] IEHC 673', '[2008] IEHC 94', '[2009] 4 IR 451', '[2020] IEHC 621', '[2014] IEHC 79', '[1984] I.R. 36', '[2006] IESC 10', '[2013] IESC 19', '[2013] 2 I.R. 417']","['Valuation Act 2001', '2001 Act', 'Legal Services Regulation Act 2015', '2015 Act', 'Valuation Act']",2021_IEHC_646
