CITATION,INSTRUMENT,Neutral Citation
"['[2020 No.', '[2015] IESC 68', '[2011] 1 IR 729', '[2019] IEHC 446', '[2009] IEHC 353', '[2017] IEHC 13', '[2017] IEHC 94', '[2019] IEHC 72', '[2019] IEHC 298', '[2020] IEHC 100']","['International Protection Act', '2015 Act']",2022_IEHC_84
"['[2010 No.', '[1996] 2 I.R. 459', '[2004] 1 I.R. 512', '[2021] IECA 41', '[2008] IEHC 437', '[2022] IEHC 12', '[2021] IEHC 103', '[2002] 2 ILRM 210']","['European Convention', 'Companies Act 2014', 'Bankruptcy Act 1988', '1988 Act']",2022_IEHC_92
"['[2021] IECA 244', '[1993] BCC 325', '(1872) LR 14 Eq 322', '[2007] 2 IR 406', '[1942] 1 All ER 378', '[2014] IEHC 418', '[2010] IEHC 152', '[2020] IECA 152']","['COMPANIES ACT 1963', 'MATTER OF DIRECTIVE 2001/34/EC', 'Companies Act', 'Credit Institutions (Stabilisation) Act 2010', 'Companies Act 1985', 'Companies Act 2014', 'Companies Act 2003', 'Act of 1963']",2022_IECA_21
"['[1967] I.R. 1', '[2016] IECA 328', '[2013] 1 I.R. 417', '[2016] 2 I.R. 268']",['Civil Liability and Courts Act'],2022_IEHC_51
"['[2016]\xa0IESC 15', '[2020]\xa0IESC\xa017', '[2021]\xa0IEHC\xa0668', '[2006]\xa0IEHC\xa0323', '[2015] IECA\xa0126', '[2015]\xa02\xa0I.R.\xa0456', '[2015] 2\xa0I.L.R.M.\xa0337', '[2000]\xa04\xa0I.R.\xa0159', '[2006] IEHC 323', '[2015]\xa01\xa0I.R.\xa0516']","['Financial Services and Pensions Ombudsman Act 2017', 'Rules\xa010', 'FSPO Act 2017', 'FSPO Act', 'Pensions Act 1990', '2017 Act', 'Legal Services Regulation Act 2015']",2022_IEHC_47
[],"['Act of 1997', 'Criminal Damage Act', 'Road Traffic Act 1961', ') Act 2011']",2022_IECA_37
"['[2019]\xa0IECA\xa086', '[2017]\xa0IEHC\xa063', '[2018]\xa0IEHC\xa0625', '[2019]\xa0IEHC\xa0591', '[2020]\xa0IEHC\xa0687', '22\xa0May 2019', '9\xa0June 2018']","['Statute of Limitations 1957', 'Defamation Act 2009', 'Circuit Court Rules']",2022_IEHC_67
"['[2015] IECA 139', '[2019] IECA 319', '[2012] IECCA 78', '[2006] 3 I.R. 115', '[2015] IESC 40', '[2015] 4 I.R. 60', '[2018] IECA 197', '[2015] IESC 98', '[2014] 3 I.R. 279', '[2021] IESC 60', '[2019] IEHC 562', '[2020] IESC 13', '[2015] 4 I.R. 84']","['Offences Against the State Act 1939', 'Offences Against the State (Amendment) Act 1998', 'Criminal Justice (Amendment) Act 2009', '1972 Act', '1939 Act', 'Council Framework Decision', 'European Arrest Warrant Act 2003', 'Act of 1939', '2000 Act', 'Criminal Justice (Amendment) Act of 2009', 'Criminal Justice Act 1984', 'Criminal Justice (Drug Trafficking) Act 1996', 'Criminal Justice Act 2007']",2022_IESC_7
"['[2020 No.', '[2021] IEHC 382', '[1995] AC 491', '[1960] 1 WLR 692', '[1996] BCC 486', '[1955] AC 491', '[2012] IEHC 114', '[1969] 1 WLR 529', '[1960] 1 WLR 646', 'this Case 28']","['Companies Act', 'Statute of Limitations']",2022_IEHC_88
"['[2018 No.', '[2020] IESC 12', '[2013] IEHC 322', '[2020] IEHC 657', '(Case C-479/21 PPU)']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'International Protection Act', 'Act of 2015', 'European Convention', 'ECHR', 'Dublin III Regulation', 'Act of 2015 14', 'European Council Directive 2005/85', 'Asylum Procedures Directive', 'United Nations Convention', '1951 Convention', '2003 Act', 'European Union 59']",2022_IEHC_71
"['[2021 No.', '[2015] IESC 49', '[2014] IESC 34', '[2014] 1 IR 720', '[2008] IESC 53', '[2009] 1 IR 618', '[2019] IEHC 251', '[2012] IEHC 315', '[2009] IESC 83', '[2006] IECCA 71', '[2006] 3 IR 425', '[1981] IR 489', '[1971] I.R. 132', '[1974] I.R. 378', '[1979] I.R. 423', '[2004] IESC 1', '[2004] 1 IR 40', '[2020] IECA 159', '[2005] IESC 13', '[2005] IEHC 292', '[2012] IEHC 180']","['European Arrest Warrant Act', 'Act of 2003', 'Act of 2003?', 'Framework Decision', 'Council Framework Decision 2009/299/JHA', 'Criminal Justice (Terrorist Offences) Act 2005', 'Criminal Law Act 1967', 's4(1) Criminal Law Act 1967', '1967 Act', ""Magistrates' Courts Act 1980"", 'Criminal Justice Act', 'Criminal Law Act', 'Criminal Law (Suicide) Act', 'UK Criminal Law Act', 'Criminal Law Act 1997', '2003 Act', 'Extradition Act 1965', '2002/584/JHA']",2022_IEHC_162
"['[2014 No.', '[2011] IESC 1', '[2011] 1 IR 384']","['European Arrest Warrant Act', 'Act of 2003', '2002/584/JHA', 'Council Framework Decision 2009/299/JHA', 'Framework Decision', 'Criminal Law (Human Trafficking) Act 2008', 'Constitutional and/or Convention', '2003 Act', 'Lithuanian Republic Code of Criminal Procedure Article 69', 'European Convention', 'Criminal Process Code', 'Criminal Procedure Code', 'European Arrest Warrant Act 2003', 'Criminal Code', 'Code of Criminal Procedure of the Republic of Lithuania', 'Act of 2005']",2022_IEHC_118
"['[2014] IESC 56', '[2021] IEHC 326', '[2020] IEHC 252', '[2017] IEHC 234', '[2020] IECA 101', '[2020] IEHC 385']","['Children Act 2001', 'Children Act', 'Children’s Act 2001']",2022_IEHC_70
"['[2015]\xa0IECA\xa0155', '[2015]\xa01\xa0I.R.\xa0707', '[2018]\xa0IEHC\xa0452', '[2021]\xa0IECA\xa017', '[2021]\xa0IECA\xa0139']","['Personal Injuries Assessment Board Act', 'Legal Services Regulation Act 2015', 'PIAB Act 2003']",2022_IEHC_66
"['[2022] IESC 000', '[2021] IEHC 840', '[2019] IEHC 803', '[2020] IESC 40', '[2015] IECA 69', '[2021] IECA 209', '[2012] 4 IR 147', '[2016] IESC 17', '[2020] IESC 12', '(1843) 3 Hare 100', '[2021] IECA 210', '[2010] UKSC 9', '[2016] IESC 25', '[2012] UKSC 25']","['European Convention', 'European Arrest Warrant Act 2003', 'Framework Decision 2002/584', 'Framework Decision', 'Framework Decision 2009/299', 'European Council Framework Decision 2009/299/JHA', 'Framework Decision 2002/584/JHA']",2022_IESC_6
"['[2008] 2 IR  775', '[2007] 2 IR 81', '[2002] 4IR 515', '[2007] IEHC 334', '[2008] 2 IR 775', '[2006] IESC 27', '[2009] 2 IR 417', '[2017] IEHC 217', '[2014] IEHC 79', '[1991] ILRM 301', '[2004] 1 IR 92', '[2013] 1 IR 247', '[2018] IECA 236', '[2005] 4 IR 461', '[2020] IECA 277']","['European Convention', 'Superior Courts 1986', 'Legal Service Regulation Act 2015', 'Legal Services Regulation Act 2015']",2022_IECA_41
"['[2021 No.', '38 CA]', '[2008] 2 IR 359', '[2020] IECA 138']","['Council Directive 90/311', 'Package Holidays Trade and Travel Act', '1995 Act', 'Council Directive 90/314', 'Hotel Proprietors Act', 'Hotel Proprietors’ Act', 'Occupiers’ Liability Act', 'Hotel Proprietors Act 1963', 'Occupiers Liability Act 1995']",2022_IEHC_89
"['[2007] 2 I.R. 81', '[2020] IECA 183', '[2020] IECA 277', '[2020] IEHC 342', '[1897] 2 I.R. 258', '[2021] IECA 114']","['Legal Services Regulation Act 2015', '2015 Act', 'Taxes Consolidation Act 1997', 'pre-2015 Act', '2012 Act']",2022_IEHC_102
"['[2018] IECA 121', '[2000] 4 IR 356', '(1972) 1 Frewen 351']","['Criminal Justice (Theft and Fraud Offences) Act 2001', 'Criminal Justice Act 1984', 'Bail Act 1997', '1984 Act']",2022_IECA_36
"['(2021 No.', '[2021]\xa0IECA\xa0349', '[2013]\xa0IESC\xa01', '[2013]\xa01\xa0I.R.\xa0247', '[2021]\xa0IEHC\xa0133']","['FINANCIAL SERVICES AND PENSIONS OMBUDSMAN ACT 2017', 'Financial Services and Pensions Ombudsman Act 2017', 'Central Bank Act 1942', '2017 Act', 'Act of 1942', 'Act of 1990', 'Circuit Court Rules']",2022_IEHC_46
"['[2021 No.', '[2013] IESC 7', '[2020] IESC 59']","['European Arrest Warrant Act', 'Act of 2003', 'Road Traffic Act', 'European Council Framework Decision', 'Framework Decision', 'Council Framework Decision 2009/299/JHA', 'Polish Code', '2002 Framework Decision']",2022_IEHC_50
[],"['Offences Against the Person Act 1861', 'Amendment) Act 1981', 'Amendment) Act 1990']",2022_IECA_20
"['[2021 No.', '[2016] ISEC 17']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'European Convention']",2022_IEHC_93
"['[2019 No.', '[2009] IEHC 268', '[2008] IESC 46', '[2009] 1 IR 375', '[2005] IEHC 380', '[2011] 2 IR 1', '[2014] IEHC 207']","['International Protection Act', '2015 Act', 'European Convention', 'Human Rights Act 2003', 'Old Convention']",2022_IEHC_138
"['[2021 No.', '[2015] 3 I.R. 493', '[2007] IESC 42', '[2008] 2 I.R. 514', '[2016] IECA 141', '[2000] 4 I.R. 412', '[2000] 1 A.C. 119']","['1937 Constitution', 'Judicial Council Act 2019', 'Act of 2019']",2022_IEHC_85
[],['PLANNING AND DEVELOPMENT ACT'],2022_IEHC_61
"['[2015 2384 P]', '[2016] IECA 366', '[2011] IEHC 503']","['Road Traffic (Traffic and Parking) Regulations', 'Road Traffic (No.']",2022_IEHC_125
"['[2017 No.', '[2020] IECA 183']","['CENTRAL BANK ACT 1942', 'Legal Services Regulation Act 2015', 'Consumer Insurance Contracts Act 2019']",2022_IEHC_77
"['[2022 No.', '[1966] I.R. 1', '[1999] 1 I.R. 443', '[2020] 2 I.R. 1']",[],2022_IEHC_109
"['[2021 No.', '29453/0/A/150', '[2011] IESC 1', '[2005] IESC 76', '[2005] 4 I.R. 260', '[1999] 1 A.C. 320', '[1988] A.C. 924', '[1999] A.C. 54', '[2005] IESC 83', '[2006] 1 I.R. 518', '[2020] IESC 12', '[2021] IECA 188']","['European Arrest Warrant Act', 'Act of 2003', 'Council Framework Decision', 'Council Framework Decision 2009/299/JHA', 'Framework Decision', '2003 Act', 'Act IV', 'Criminal Code', 'Criminal Code Section 274', 'Criminal Code Section 274(1)(c', 'Act IV of 1978', 'Act 2012', '2012 Act', 'Act of 2003?', 'Act of 2005', 'European Arrest Warrant Act 2003', 'European Council Framework Decision', 'Act of 1989', 'Criminal Justice (Miscellaneous Provisions) Act 2009', 'Hungarian Criminal Code', 'Act of 2003 ?', 'European Convention', 'Article 8 Convention', 'Convention']",2022_IEHC_191
"['[2020 No.', '[2020] 1 I.R. 211', '[2003] 3 I.R. 407', '[2017] IEHC 539']","['Companies Act', 'Registration of Maternity Homes Act']",2022_IEHC_82
"['[2006 No.', '[1984] IR 151', '[1996] 2 IR 459', '[2016] IECA 19', '[2016] IECA 206', '[2004] IEHC 99', '[2015] IECA 41', '[2008] 3 IR 87']",[],2022_IEHC_94
"['[1982] IR 337', '[2019] 2 ILRM 1', '[1980] IR 269', '[2011] 1 IR 729', '[2018] IEHC 474', '[2021] IESC 34', '[2013] 3 IR 417', '[2018] 1 IR 246']","['Road Traffic Act', '2002 Act', '2010 Act', 'Statute of Limitations']",2022_IEHC_113
"['[2000] IESC 50', '[1992] 1 IR 210', '[2017] 3 IR 707', '[2013] IESC 17', '470 U.S. 564', '[1776] 3 BURR 1905', '[1997] 2 IR 193']",[],2022_IECA_27
"['[2016 No.', '[2021] IEHC 270', '[2021] IEHC 90', '[2020] IEHC 692', '[2020] IEHC 415', '[2020] IESC 12', '[2021] IEHC 162', '(Case C-665/20 PPU)', '[2021] IEHC 641']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Misuse of Drugs Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Damage Act', 'European Convention', 'ECHR', 'European Prison Rules', '2003 Act', 'European Council Framework Decision 2008/909/JHA']",2022_IEHC_57
"['[2017] IEHC 600', '[2016] 1 IR 1', '[2014] 12 JIC 1002', '[2011] IEHC 438', '[2020] IECA 87', '[2016] 1 I.R. 92', '[2016] IEHC 752', '(Case C-415/11)', '[2020] IEHC 212']","['Business Premises) Regulations', 'Consumer Credit Act', 'European Communities (Cancellation of Contracts Negotiated', 'Central Bank’s Code of Conduct on Mortgage Arrears', 'Land and Conveyancing Law Reform Act 2013', 'Family Home Protection Act 1976', 'Civil Partnership and Certain Rights and Obligations of Cohabitants Act 2010', 'Credit Institutions (Stabilisation) Act 2010', 'Irish Bank Resolution Corporation Act 2013', '2013 Code', 'CONSUMER CREDIT ACT', '1995 Act', 'Act of 1879', 'Unfair Contract Terms Directive']",2022_IEHC_41
