CITATION,INSTRUMENT,Neutral Citation
"['[2008] 2 I.R 816', '[2014] IEHC 547', '[2015] IESC 75', '[2008] 2 I. R. 816', '[2019] IESC 13']",[],2022_IEHC_95
"['[1989] I R 91', '[2020] IESC 6']",['Civil Law (Miscellaneous Provisions) Act 2008'],2022_IEHC_128
"['[2020 No.', '[2021] IEHC 140', '[2021] 3 JIC 1216', '[2021] IEHC 230', '[2021] 4 JIC 1204', '[2019] IEHC 450', '[2010] IEHC 255', '[2010] 7 JIC 0102', '[2011] IEHC 214', '[2011] 2 I.R. 798', '6.8 m. 91', '3 95', '[2020] IEHC 586', '[2020] 11 JIC 2501', '[2022] IEHC 7', '[2022] 1 JIC 1001', '[2021] IEHC 322', '[2021] 5 JIC 1403', '[2022] IEHC 5', '[2022] 1 JIC 0702', '[2003] IESC 18', '[2003] 2 I.R. 114', '[1977] QB 966', '[1977] 3 All ER 338', '[2008] IEHC 146', '[2008] 5 JIC 0810', '[2021] IECA 98', '[2021] 3 JIC 2902']","['Dublin City Development Plan 2011', 'Dublin City Development Plan 2016-2022', 'Planning and Development Act 2000', 'Aarhus Convention', 'UNECE Convention', 'Convention', '2000 Act', 'Planning and Development Regulations 2001']",2022_IEHC_83
"['[2017] IECA 309', '[2017] IEHC 149', '[2019] IEHC 571', '[2017] IECA 221']","['Civil Liability and Courts Act 2004', '2004 Act']",2022_IEHC_108
"['[2019] IEHC 796', '[1993] 1 I.R. 231', '[1977] I.R. 211', '[1976] I.R. 325', '[2018] IESC 15', '[2010] IESC 21', '[1994] 2 IR 286', '[2017] IEHC 279', '[2005] 7 JIC 2909', '[2003] 2 IR 314', '[1999] 2 IR 552', '[1999] WJSC HC 1721', '[2003] 3 IR 12', '[1988] I.R. 258', '[1991] 2 I.R. 449', '[2020] IESC 60']","['Children Act 2001', '2001 Act', 'Children Act', 'Childcare Act 2001', 'Child Care Act 2001', 'Child Care Act', 'Children Act 2021', 'Criminal Justice Act 2006', 'Prosecution of Offences Act 1974', 'Children and Vulnerable Persons) Act', '2012 Act', 'Criminal Justice (Spent Convictions and Certain Disclosures) Act', '2005 Act', 'Probation Officers (Kilkelly 2006', 'Directive 2012/13', 'Evidence) Act', 'Criminal Justice (Public Order) Act', 'Interpretation Act', 'European Directive', '2004 Act']",2022_IEHC_149
['[2019 118 P]'],[],2022_IEHC_124
"['[2011] IEHC 7', '[2011] IEHC 470', '[2019] IEHC 486', '[1995] 2 IRM 561', '[1984] IR 151', '[1996] 2 IR 459', '[2020] IESC 67', '[1980] 2 NSWLR 749', '[1994] 1 ILRM 512']","['Unfair Dismissals Act 1977', 'Unfair Dismissals Act', '1991 Statute of Limitations Amendment Act']",2022_IEHC_60
"['[2021 No.', '[2020] IESC 59']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Criminal Damage Act', 'Criminal Justice (Theft and Fraud Offences) Act', 'Act of 2003 17', 'Council Framework Decision 2009/299/JHA', '2002 Framework Decision', 'Act of 2003 23']",2022_IEHC_59
"['[2020] IEHC 551', '[2003] IR 302', '[2010] 2 I.R. 118', '[2012] 4 I.R. 147', '(1843) 3 Hare 100', '[2003] 4 I.R. 302', '[2002] 2 AC 1', '[2006] IEHC 156', '[2016] IECA 21', '[2016] IECA 214', '[1966] IR 345', '[2008] 2 IR 40', '(2002) 118 LQR 397', '[2021] IEHC 233', '[1996] 2 I.R. 459', '[1984] I.R. 151', '[2014] IEHC 304', '[2015] IECA 74', '[2021] IECA 287', '[2019] IESC 33', '[2020] 1 IR 413', '[1996] IEHC 46', '[2020] IESC 67']","['Statute of Limitations Act 1957', 'Statute of Limitations', 'Statute of Limitations (Amendment) Act', 'Legal Services Regulation Act 2015']",2022_IEHC_75
"['[2022] IEHC 33', '[2008] IEHC 401', '[2014] IEHC 511']","['PLANNING AND DEVELOPMENT ACT', 'Planning and Development Act 2000', 'Environment (Miscellaneous Provisions) Act 2011', '2011 Act', '2015 Act', '2011 ACT', 'Courts of Justice Act 1924', 'Courts of Justice Act 1936', '1924 Act']",2022_IEHC_63
"['[2020] IECA 49', '[2013] IESC 39']",['1988 Act'],2022_IESC_3
"['[2021] IEHC 306', '[2021] IECA 293', '[2017] IECA 96', '[2020] IECA 123', '[2020] IECA 183', '[2020] IECA 277', '99 R. 3(2)', '[1984] 1 All ER 597', '[2011] IEHC 117', '[2011] 3 IR 615', '[2019] IEHC 11']","['Companies Act 2014', '2014 Act', 'Legal Services Regulation Act 2015']",2022_IECA_33
"['[2011] 2 IR 575', '[2006] 3 IR 623', '[2006] 2 IR 292', '[2002] 4 IR 44']","['Record No.', 'Waste Management Act 1996', 'Waste Management Act', '1996 Act', 'Waste Management (Prohibition of Waste Disposal by Burning) Regulations 2019', 'Act of 1996', 'Waste Management Acts 1996', 'Council Directive 75/442/EEC', 'Council Directive 91/156']",2022_IEHC_107
"['[2017] IEHC 581', '[2019] IEHC 211', '[1996] 1 IR 189', '[1983] IR 255', '[1967] 2 QB 243', '[2011] IECCA 5', '[1968] ILRM 593', '[2011] IESC 23', '[2019] IEHC 445', '[2014] IEHC 613', '[2009] IEHC 288', '[2010] IEHC 529', '[2017] IEHC 829', '[2013] IEHC 608', '[2014] IEHC 77', '[1994] WJSC-HC 1443', '[1977] I.R. 267', '[1996] 3 I.R. 208', '[1973] IR 388']","['Prison Rules', 'Prison Rules 2007', 'Misuse of Drugs Act 1977', 'Firearms and Offensive Weapons Act 1990']",2022_IEHC_55
"['[2020 No.', '[2012] 3 IR 152']","['Legal Services Regulation Act', '2015 Act']",2022_IEHC_79
"['[2010] IEHC 414', '[2017] IEHC 62', '[1948] I K.B. 223', '[1984] 6 JIC 2901']","['PHARMACY ACT', 'Pharmacy Act', 'Medical Practitioners Act', '2007 Act', 'Act of 2007', 'Nursing Act 1985', '1985 Act']",2022_IEHC_80
"['[2021 No.', '[2020] IESC 12']","['European Arrest Warrant Act', 'Act of 2003', 'European Arrest Warrant 2003', 'Framework Decision', 'ECHR']",2022_IEHC_192
['[2020] IECA 183'],['Legal Services Regulation Act 2015'],2022_IEHC_78
"['[1983] ILRM 186', '[1950] IR 235', '[2009] 1 IR 275', '[1990] 2 IR 566', '[2001] 4 IR 463', '[2010] 3 IR 537', '[1996] 2 ILRM 433', '[1913] 2 KB 304', '[2018] IEHC 571', '[2001] 4 IR 607', '[2018] IEHC 281', '[1997] IEHC 143', '[2008] IEHC 52', '[1999] IESC 54', '[1998] IEHC 90', '[2004] IESC 43', '[2005] 2 I.L.R.M. 498']","['Lunacy Acts (Amendment) Act 1889', 'Lunacy Act 1890', 'Mental Treatment Act 1930', 'Mental Treatment Act', 'Mental Treatment Act 1945', '1945 Act', 'Mental Health Act 2001', '1890 Act', '2001 Act']",2022_IECA_24
"['[2021] IECA 29', '[2021] IEHC 620', '[2020] IECA 364', '[2009] IEHC 246', '[2011] IEHC 253', '[2011] 2 I.L.R.M. 321', '[2018] IEHC 677', '[2019] 3 I.R. 650', '[1976] I.R. 217', '[2016] IECA 85']","['Civil Liability Act 2004', '2014 Act', 'Superior Courts Rules', '2004 Act', 'Work Act 2005']",2022_IEHC_110
[],"['Road Traffic Act 1961', 'Road Traffic Act 2006', 'Road Traffic Act']",2022_IECA_73
"['[2013] IEHC 230', '[2004] E.C.R. I-1829', '[2005] E.C.R. I-7805', '[2009] IEHC 171', '[1994] Env.', '[2021] IEHC 212']","['Official Languages Act 2003', '2016 Framework', 'Provision of Irish Language Translation Services', 'Review Procedures) Regulations 2010', 'Remedies Regulations', 'Constitution (Article 8.1)', '2021 Framework', '2016 Framework Agreement.', 'Council Directive', 'Remedies Directive', 'Framework Agreement for Request for Tenders', '2010 Regulations', 'Directive 89/665', '1989 Directive', 'Superior Court Rules', 'Remedies Regulation', 'Public Procurement Remedies Regulations', 'Utilities Remedies Regulations']",2022_IEHC_54
"['[2020 No.', '[2018] IEHC 473', '[2018] 7 JIC 3130', '[2020] IEHC 400', '[2020] 7 JIC 3108', '[2021] IEHC 303', '[2021] 5 JIC 0706', '[2016] IEHC 646', '[2016] 11 JIC 1404', '2016 WJSC-HC 439', '[2013] IESC 49', '[2013] 4 I.R. 274', '[2020] IEHC 151', '[2020] 3 JIC 1003', '[2018] IEHC 569', '[2018] 10 JIC 1701', '[1986] I.R. 750']","['PLANNING AND DEVELOPMENT ACT 2000', 'Planning and Development Act 2000', 'Interpretation Act 2005', 'Dublin City Development Plan 2016', 'Dublin City Development Plan 2022', '2000 Act']",2022_IEHC_42
['[2013] IESC 1'],[],2022_IECA_32
[],[],2022_IEHC_62
"['[2017] IESC 25', '[2018] 1 IR 189', '[2020] IESC 55', '[2019] IEHC 662', '[2020] IECA 307', '[2021] IESCDET 100', '[2009] IESC 81', '[2010] 2 IR 199', '(1996) 22 EHRR 135', '[2013] ECHR 984', '(1997) 23 EHRR 101', '[2020] IEHC 634', '[2017] IEHC 288', '(2014) 14 Human Rights Law Review 441', '[2019] IESC 38', '[2020] 2 IR 38', '[2020] IRESC 55', '[2009] IECCA 31', '[2010] 1 IR 543', '[2006] IECCA 165', '[2007] 3 IR 130', '[2014] IEHC 532', '(1972) 1 Frewen 360', '[2013] IEHC 43', '[2013] 4 IR 96', '(No.1)[2012] IEHC 406', '(No.2)[2013] IEHC 255', '[2015] IEHC 229', '[1982] ILRM 104', '[1981] ILRM 23', '(2001) 33 EHRR 18', '[2013] ECHR 1768', '(§ 123', '[2019] IESC 65', '[2020] 2 IR 1', '[2000] IESC 80', '[2000] 4 IR 68', '[2008] IEHC 376', '[2013] IEHC 311', '[2019] IESC 28', '[2019] IESC 92', '[2012] IESC 49', '[2012] 3 IR 132', '[2019] IECA 54', '[2019] 2 IR 750', '[2004] IEHC 45', '[2004] 1 IR 216', '[1997] 1 IR 512']","['Planning and Development Act 2000', '2000 Act', 'Housing (Traveller Accommodation) Act 1998', 'European Convention', 'of Human Rights Act 2003', 'Human Rights Act 2003', '2003 Act', 'ECHR', 'Convention', '2014 Act', '1998 Act', 'Irish Free State 1922', '(German) Weimar Constitution 1919', 'Weimar Constitution of 1919', 'Irish Constitution of 1922', 'Italian Constitution of 1947', 'Land Law and Conveyancing Law Reform Act 2009', 'First Protocol ECHR', 'Amendment) Act 1955', 'Housing Act']",2022_IESC_2
"['[2021 No.', '[2006] IEHC 59', '[1932] A.C. 562', '[1990] ELR 184']","['Industrial Relations Act 1946', 'Workplace Relations Act 2015', 'Electronic Commerce Act 2000', 'Unfair Dismissals Acts 1977']",2022_IEHC_188
"['[1986] I.R. 433', '[2020] IEHC 438', '[1976] I.R. 325']","['Criminal Justice (Legal Aid) Act', 'Criminal Justice (Legal Aid) Regulations', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Damage Act', 'Criminal Justice Act', 'Criminal Justice (Legal Aid) Act 1962', 'Criminal Justice (Miscellaneous Provisions) Act 1997']",2022_IEHC_74
"['[2021] IECA 28  Noonan J.', '[2002] HCA 35', '[2015] HCA 19', '174 N.E. 441', '[1999] 2 AC 455', '[1967] 1 WLR 912', '[2000] 1 WLR 1970', '(1984) 155 CLR 549', '(2002) 61 CLJ 386', '[2000] NSWCA 346', '(2000) 50 NSWLR 261']","['Civil Liability Act 1961', '1961 Act', 'German Civil Code']",2022_IECA_28
"['[2020 No.', '[2020] IESC 12']","['European Arrest Warrant Act', 'Act of 2003', 'Criminal Justice (Theft and Fraud Offences) Act', 'Criminal Damage Act', 'Criminal Damage Act 1991', 'Act of 2003 15', 'European Convention', 'ECHR', '2003 Act', 'European Council Framework Decision', 'Framework Decision']",2022_IEHC_58
"['[2020] IEHC 661', '[2020] IECA 33']","['Valuation Act 2001', 'Interpretation Act 2005', '2001 Act']",2022_IECA_35
"['[2017] IECA 74', '[2007] I-01053 (Opinion para.', '[2012] IEHC 406', '[2016] IEHC 709', '[2017] IESC 66', '[1989] IR 701', '[2021] IECA at', '[2013] 3 I.R 510']","['Directive 2014/24', 'Directive 2004/18/EC', '2020 Framework', '2015 Framework', 'Procurement Directive', 'Single Supplier Framework Contracts', 'European Code', 'Framework Contract', 'Public Authority Contracts) Regulations 2016', 'Framework)', 'Framework.']",2022_IEHC_101
"['[2021] IEHC 667', '19\xa0January 2022', '26\xa0January 2022', '[2020]\xa0IECA\xa0153', '[2015]\xa0IESC\xa0103', '[2015]\xa04\xa0I.R. 535', '[2021]\xa0IECA\xa0114', '[2014]\xa0IEHC\xa079', '[2021]\xa0IESC\xa024', '[2021]\xa0E.L.R.\xa0213', '[2016]\xa0IESC\xa020', '[2018]\xa01\xa0I.R.\xa0787', '[2021]\xa0IEHC\xa0711']",['Legal Services Regulation Act 2015'],2022_IEHC_45
"['[2017] IECA 221', '[2020] IEHC 47', '[2020] IECA 253', '[2016] IECA 298']",['Civil Liability and Courts Act 2004'],2022_IEHC_53
"['[2020 NO.', '151 C 2667', '141 C 7913']","['Proceeds of Crime Act 1996', '1996 Act', 'Proceeds of Crime Act']",2022_IEHC_90
"['[1983] I.R. 88', '[2005] IESC 89', '[2020] IEHC 665', '[2020] EWCA Civ.', '[2020] IEHC 368', '[2021] IESC 77', '[2018] ICR 1850', ', 2018.', '[2003] I.C.R. 615', '[2020] EWCA Civ 73', '[2017] 1 I.R. 355', '[2005] 4 I.R. 184', '[2019] IESC 79', '[2016] IESC 33', '[1983] ILRM 413', '(1975) 109 ILTR 7', '[2001] 4 I.R. 203']","['Civil Service Regulation Acts 1956', 'Civil Service Disciplinary Code', '2016 Code', 'Civil Service Disciplinary Code Appeals', 'Protected Disclosures Act', '2014 Act', 'Courts Act', 'Code of Practice', 'Garda Síochána Act', 'Protected Disclosures Act 2014', 'Unfair Dismissals Act 1977', 'Unfair Dismissals Act', '1977 Act', 'Unfair Dismissals Acts 1977', 'Defence Act 1954', 'Ombudsman (Defence Forces) Act 2004', 'Defence Act', 'Ombudsman (Defence Forces) Act', 'Act?', 'Public Interest Disclosure Act', 'Garda Siochána Act', '2016 Code 169', 'Civil Service Regulation Act', 'Civil Law (Miscellaneous Provisions) Act 2008', '1956 Act', 'Civil Service Disciplinary Appeals Board', 'Local Government (Sanitary Services) Act', 'Taxes Consolidation Act', 'Refugee Act']",2022_IEHC_86
['[2002] 2 I.R. 458'],"['Solicitors (Amendment) Act', 'Act of 1960', 'Complaints & Client Relations Section of the Law', 'Solicitors Act']",2022_IESC_9
[],[],2022_IECA_39
"['(1836) 1 Moore’s PC 299', '[2015] IEHC 622', '[2015] IEHC 623', '[2006] EWCH 2243 (Ch)', '[2001] WTLR 205']",['Succession Act'],2022_IEHC_49
