Neutral Citation,Judge,Court,Link,Judge ID
2021_IECA_332,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2021_IECA_332,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2021_IECA_332,Barniville J.,High Court,https://en.wikipedia.org//wiki/David_Barniville,18202
2021_IECA_332,Barniville J.,Supreme Court,https://en.wikipedia.org//wiki/David_Barniville,18202
2021_IECA_332,Barniville J.,Court of Appeal,https://en.wikipedia.org//wiki/David_Barniville,18202
2021_IECA_334,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2021_IECA_334,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2021_IECA_334,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2021_IECA_335,Faherty J.,Court of Appeal,https://en.wikipedia.org//wiki/Mary_Faherty,2494
2021_IECA_335,Ni Raifeartaigh J.,Court of Appeal,https://en.wikipedia.org/wiki/%C3%9Ana_N%C3%AD_Raifeartaigh,53073
2021_IECA_336,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2021_IECA_336,Costello J.,Court of Appeal,https://en.wikipedia.org//wiki/Caroline_Costello,41498
2021_IECA_336,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2021_IECA_337,Faherty J.,Court of Appeal,https://en.wikipedia.org//wiki/Mary_Faherty,2494
2021_IECA_337,Murray J.,Supreme Court,https://en.wikipedia.org//wiki/Brian_Murray_(judge),2138
2021_IECA_337,Collins J.,Court of Appeal,https://en.wikipedia.org//wiki/Maurice_Collins_(judge),29689
2021_IECA_350,Birmingham P.,Supreme Court,https://en.wikipedia.org//wiki/George_Birmingham,14013
2021_IECA_350,Birmingham P.,Court of Appeal,https://en.wikipedia.org//wiki/George_Birmingham,14013
2021_IECA_350,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2021_IECA_350,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2021_IEHC_713,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_714,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_715,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2021_IEHC_733,Humphreys J.,High Court,https://en.wikipedia.org//wiki/Richard_Humphreys_(judge),3783
