Neutral Citation,Judge,Court,Link,Judge ID
2022_IEHC_44,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2022_IEHC_45,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2022_IEHC_46,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2022_IEHC_47,Simons J.,High Court,https://en.wikipedia.org//wiki/Garrett_Simons,25571
2022_IEHC_49,Butler J.,High Court,https://en.wikipedia.org//wiki/Nuala_Butler,61569
2022_IEHC_50,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2022_IEHC_51,Stack J.,High Court,https://en.wikipedia.org//wiki/Siobh%C3%A1n_Stack,46033
2022_IEHC_53,Ferriter J.,High Court,https://en.wikipedia.org//wiki/Cian_Ferriter,39428
2022_IEHC_54,Twomey J.,High Court,https://en.wikipedia.org//wiki/Michael_Twomey_(judge),21245
2022_IEHC_55,Barr J.,High Court,https://en.wikipedia.org//wiki/Anthony_Barr_(judge),28678
2022_IEHC_57,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2022_IEHC_58,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2022_IEHC_59,"Burns, Paul J.",High Court,https://en.wikipedia.org//wiki/Paul_Burns_(judge),7210
2022_IEHC_60,Bolger J.,High Court,https://en.wikipedia.org//wiki/Marguerite_Bolger,52018
2022_IEHC_61,Holland J.,High Court,https://en.wikipedia.org//wiki/David_Holland_(judge),27542
