Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2022_IEHC_424,Hague Convention,Hague Convention,,,,36729,32191
2022_IEHC_440,European Convention,European Convention,,,,47442,45665
2022_IEHC_440,Geneva Convention,Geneva Convention,,,,35524,52109
2022_IEHC_440,United Nations Convention,United Nations Convention,,,,51156,21434
2022_IEHC_48,European Convention,European Convention,,,,47442,45665
2022_IEHC_57,European Convention,European Convention,,,,47442,45665
2022_IEHC_58,European Convention,European Convention,,,,47442,45665
2022_IEHC_6,Aarhus Convention,Aarhus Convention,,,,63324,59889
2022_IEHC_71,European Convention,European Convention,,,,47442,45665
2022_IEHC_71,United Nations Convention,United Nations Convention,,,,51156,21434
2022_IEHC_72,European Convention,European Convention,,,,47442,45665
2022_IEHC_76,European Convention,European Convention,,,,47442,45665
2022_IEHC_83,Aarhus Convention,Aarhus Convention,,,,63324,59889
2022_IEHC_83,UN/ECE Convention,UN/ECE Convention,,/ECE Convention,,6767,37673
2022_IEHC_92,European Convention,European Convention,,,,47442,45665
2022_IEHC_93,European Convention,European Convention,,,,47442,45665
2022_IEHC_96,Aarhus Convention,Aarhus Convention,,,,63324,59889
2022_IESC_11,European Patent Convention,European Patent Convention,,,,16000,5434
2022_IESC_12,European Convention,European Convention,,,,47442,45665
2022_IESC_19,Aarhus Convention,Aarhus Convention,,,,63324,59889
2022_IESC_2,European Convention,European Convention,,,,47442,45665
2022_IESC_24,European Convention,European Convention,,,,47442,45665
2022_IESC_25,Refugee Convention 1951,Refugee Convention,1951,,,51168,10409
2022_IESC_27,European Convention,European Convention,,,,47442,45665
2022_IESC_29,European Convention,European Convention,,,,47442,45665
2022_IESC_6,European Convention,European Convention,,,,47442,45665
