Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2022_IEHC_384,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2022_IEHC_384,United Nations Standard Minimum Rules,United Nations Standard Minimum Rules,,,,9023,8695
2022_IEHC_393,Meath County Development Plan 2013,Meath County Development Plan,2013,,,62616,39115
2022_IEHC_393,Meath County Development Plan 2021,Meath County Development Plan,2021,,,4024,39115
2022_IEHC_393,National Planning Framework,National Planning Framework,,,,7368,23761
2022_IEHC_395,Meath County Development Plan 2022,Meath County Development Plan,2022,,,22360,39115
2022_IEHC_413,EU Treaty,EU Treaty,,,,31995,22280
2022_IEHC_42,Dublin City Development Plan 2016,Dublin City Development Plan,2016,,,56492,59814
2022_IEHC_42,Dublin City Development Plan 2022,Dublin City Development Plan,2022,,,34499,59814
2022_IEHC_50,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2022_IEHC_57,European Prison Rules,European Prison Rules,,,,6631,64583
2022_IEHC_57,Council Framework Decision 2008/909/JHA,Council Framework Decision,2008,2008/909/JHA,,25908,41583
2022_IEHC_58,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2022_IEHC_59,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2022_IEHC_59,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2022_IEHC_71,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2022_IEHC_72,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2022_IEHC_83,Dublin City Development Plan 2011,Dublin City Development Plan,2011,,,51589,59814
2022_IEHC_83,Dublin City Development Plan 2016,Dublin City Development Plan,2016,,,56492,59814
2022_IEHC_85,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
2022_IEHC_93,European Council Framework Decision,European Council Framework Decision,,,,183,35020
2022_IEHC_98,Constitution,Constitution,,,,8988,2159
2022_IESC_12,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2022_IESC_19,Constitution,Constitution,,,,8988,2159
2022_IESC_2,Constitution 1922,Constitution,1922,,https://www.irishstatutebook.ie/1922/en/act/pub/0001/index.html?q=Constitution&years=1922,29999,2159
2022_IESC_22,Criminal Code,Criminal Code,,,,18707,26220
2022_IESC_24,Criminal Code,Criminal Code,,,,18707,26220
2022_IESC_6,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2022_IESC_6,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2022_IESC_8,Natura 2000,Natura,2000,,,61668,28308
