Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2020_IEHC_344,Firearms Act,Firearms Act,,,,49826,36136
2020_IEHC_350,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_357,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_357,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_357,Extradition Act,Extradition Act,,,,47231,44883
2020_IEHC_358,Criminal Damage Act,Criminal Damage Act,,,,21300,48846
2020_IEHC_358,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_358,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_360,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_360,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IEHC_387,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_387,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_389,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_395,Criminal Damage Act,Criminal Damage Act,,,,21300,48846
2020_IEHC_395,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_396,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_401,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2020_IEHC_401,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_401,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IEHC_402,Civil Liability Act 1961,Civil Liability Act,1961,,,1428,50064
2020_IEHC_402,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IEHC_413,Criminal Justice (Theft and Fraud Offences) Act 2001,Criminal Justice Act,2001,Theft and Fraud Offences,,40494,64073
2020_IEHC_415,Criminal Damage Act,Criminal Damage Act,,,,21300,48846
2020_IEHC_415,Criminal Justice (Public Order) Act,Criminal Justice Act,,Public Order,,47692,64073
2020_IEHC_415,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_415,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_415,Road Traffic Act 2010,Road Traffic Act,2010,,https://www.irishstatutebook.ie/2010/en/si/0011.html?q=Road+Traffic+Act&years=2010,4056,26943
2020_IEHC_416,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_417,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_431,Employment Permits (Amendment) Act 2014,Employment Permits Act,2014,Amendment,https://www.irishstatutebook.ie/2014/en/si/0430.html?q=Employment+Permits+Amendment+Act&years=2014,54004,54019
2020_IEHC_431,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_431,Immigration Act,Immigration Act,,,,29072,38538
2020_IEHC_433,Criminal Justice (Theft and Fraud Offences) Act,Criminal Justice Act,,Theft and Fraud Offences,,63009,64073
2020_IEHC_433,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IEHC_436,Employment Permits (Amendment) Act 2014,Employment Permits Act,2014,Amendment,https://www.irishstatutebook.ie/2014/en/si/0430.html?q=Employment+Permits+Amendment+Act&years=2014,54004,54019
2020_IEHC_436,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_436,Immigration Act,Immigration Act,,,,29072,38538
2020_IEHC_485,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_500,Criminal Law (Rape) (Amendment) Act 1990,Criminal Law Act,1990,"Rape,Amendment",,40761,29070
2020_IEHC_513,Illegal Immigrants (Trafficking) Act 2000,Illegal Immigrants Act,2000,Trafficking,,10483,35527
2020_IEHC_515,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IEHC_515,European Union (Consequential Provisions) Act,European Union Act,,Consequential Provisions,,2864,417
